dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.911824,3.821373,0.125000,1.250000,6.250000,31.250000,0.672671
0.200000,22.198918,4.051744,0.493095,1.840475,2.952375,-16.488127,0.680562
0.200000,22.663075,4.436205,1.095799,3.013519,5.865220,14.564228,0.706026
0.200000,23.257248,4.978261,1.900079,4.021400,5.039404,-4.129080,0.786608
0.200000,23.713553,5.554924,2.635439,3.676803,-1.722983,-33.811935,1.227797
0.200000,23.560519,5.351035,2.890371,1.274657,-12.010730,-51.438736,2.866617
0.200000,22.157625,5.519986,4.303402,7.065156,28.952493,204.816116,3.105534
0.200000,20.414302,5.472203,6.047380,8.719888,8.273662,-103.394154,3.242187
0.200000,18.561611,5.150499,7.927794,9.402070,3.410910,-24.313762,3.377215
0.200000,16.716058,4.612082,9.850281,9.612439,1.051845,-11.795324,3.465090
0.200000,14.866889,3.943665,11.816549,9.831336,1.094486,0.213204,3.503500
0.200000,12.987367,3.234409,13.825441,10.044460,1.065616,-0.144349,3.493325
0.200000,11.046298,2.588040,15.871300,10.229299,0.924198,-0.707090,3.426287
0.200000,9.046916,2.081378,17.933880,10.312897,0.417989,-2.531043,3.354257
0.200000,7.105285,1.726546,19.907667,9.868937,-2.219798,-13.188937,3.291549
0.200000,5.361926,1.508335,21.664630,8.784811,-5.420630,-16.004158,3.241648
0.200000,3.870340,1.387567,23.161097,7.482335,-6.512382,-5.458759,3.203850
0.200000,2.633900,1.328117,24.398965,6.189343,-6.464959,0.237110,3.175933
0.200000,1.653257,1.304379,25.379895,4.904647,-6.423479,0.207404,3.155975
0.200000,0.927960,1.298918,26.105213,3.626589,-6.390291,0.165936,3.142442
0.200000,0.457282,1.300472,26.575893,2.353402,-6.365933,0.121790,3.134214
0.200000,0.240623,1.302467,26.792562,1.083343,-6.350296,0.078189,3.130572
0.200000,0.195734,1.302978,26.837453,0.224457,-4.294434,10.279310,3.129828
0.200000,0.195734,1.302978,26.837453,0.000000,-1.122283,15.860753,3.129828
