dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.054133,2.387412,0.125000,1.250000,6.250000,31.250000,0.672671
0.200000,23.352507,2.626840,0.507561,1.912806,3.314032,-14.679841,0.680562
0.200000,23.852570,3.041135,1.156947,3.246929,6.670614,16.782913,0.706026
0.200000,24.555179,3.683466,2.108918,4.759855,7.564627,4.470063,0.786608
0.200000,25.440097,4.938350,3.644436,7.677590,14.588678,35.120256,1.227797
0.200000,24.058313,7.115495,6.223058,12.893110,26.077597,57.444593,2.866617
0.200000,22.223719,7.352129,8.072850,9.248959,-18.220754,-221.491756,3.105534
0.200000,20.230189,7.296270,10.067162,9.971561,3.613011,109.168829,3.242187
0.200000,18.133622,6.933177,12.194938,10.638882,3.336604,-1.382036,3.377215
0.200000,16.133269,6.350321,14.278477,10.417692,-1.105949,-22.212767,3.465090
0.200000,14.217780,5.658242,16.315158,10.183406,-1.171430,-0.327403,3.503500
0.200000,12.355739,4.955503,18.305394,9.951182,-1.161119,0.051552,3.493325
0.200000,10.531380,4.347579,20.228375,9.614904,-1.681390,-2.601355,3.426287
0.200000,8.659962,3.873412,22.158929,9.652769,0.189324,9.353573,3.354257
0.200000,6.831394,3.539307,24.017769,9.294201,-1.792839,-9.910818,3.291549
0.200000,5.178796,3.332500,25.683257,8.327441,-4.833803,-15.204817,3.241648
0.200000,3.756276,3.217351,27.110430,7.135865,-5.957877,-5.620369,3.203850
0.200000,2.570954,3.160371,28.297121,5.933452,-6.012067,-0.270953,3.175933
0.200000,1.626891,3.137524,29.241460,4.721697,-6.058773,-0.233528,3.155975
0.200000,0.926403,3.132252,29.941968,3.502539,-6.095794,-0.185105,3.142442
0.200000,0.470810,3.133757,30.397563,2.277977,-6.122808,-0.135070,3.134214
0.200000,0.260828,3.135690,30.607555,1.049958,-6.140093,-0.086427,3.130572
0.200000,0.217302,3.136186,30.651084,0.217645,-4.161569,9.892622,3.129828
0.200000,0.217302,3.136186,30.651084,0.000000,-1.088223,15.366728,3.129828
