dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.854309,3.882700,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,22.113178,4.100505,0.463308,1.691542,2.207708,-20.211462,0.719544
0.200000,22.499545,4.469268,0.997411,2.670515,4.894866,13.435791,0.814188
0.200000,22.864997,4.951366,1.602368,3.024782,1.771338,-15.617642,1.094078
0.200000,22.916078,5.138786,1.796625,0.971286,-10.267480,-60.194090,2.059420
0.200000,22.295023,5.594992,2.567230,3.853026,14.408699,123.380898,2.681454
0.200000,20.912213,6.121133,4.046754,7.397617,17.722955,16.571280,2.812858
0.200000,19.161705,6.680477,5.884454,9.188504,8.954436,-43.842594,2.851659
0.200000,17.271517,7.202744,7.845468,9.805066,3.082808,-29.358141,2.892200
0.200000,15.360905,7.649245,9.807559,9.810457,0.026955,-15.279267,2.931624
0.200000,13.433157,8.021593,11.770937,9.816891,0.032168,0.026069,2.969715
0.200000,11.514501,8.318774,13.712472,9.707674,-0.546084,-2.891262,3.005869
0.200000,9.730507,8.533167,15.509302,8.984150,-3.617618,-15.357671,3.037872
0.200000,8.184670,8.673291,17.061478,7.760879,-6.116357,-12.493696,3.064329
0.200000,6.880514,8.760140,18.368521,6.535220,-6.128295,-0.059690,3.085729
0.200000,5.820222,8.810467,19.430007,5.307428,-6.138959,-0.053318,3.102506
0.200000,5.005090,8.837212,20.245578,4.077856,-6.147861,-0.044508,3.115028
0.200000,4.435852,8.849895,20.814958,2.846898,-6.154787,-0.034631,3.123579
0.200000,4.112897,8.854940,21.137952,1.614970,-6.159642,-0.024277,3.128360
0.200000,4.013024,8.856188,21.237833,0.499406,-5.577821,2.909104,3.129828
0.200000,4.013024,8.856188,21.237833,0.000000,-2.497028,15.403966,3.129828
