dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.457855,3.138295,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,22.744760,3.379735,0.500000,2.500000,6.250000,0.000000,0.719544
0.200000,23.196416,3.811410,1.125000,3.750000,6.250000,0.000000,0.814188
0.200000,23.716483,4.511619,2.000000,5.000000,6.250000,0.000000,1.094078
0.200000,23.762268,5.588640,3.125000,6.250000,6.250000,0.000000,2.059420
0.200000,22.720594,6.453651,4.500000,7.500000,6.250000,0.000000,2.681454
0.200000,21.221607,7.028151,6.125000,8.750000,6.250000,0.000000,2.812858
0.200000,19.435682,7.598814,8.000000,10.000000,6.250000,0.000000,2.851659
0.200000,17.508048,8.131430,10.000000,10.000000,0.000000,-31.250000,2.892200
0.200000,15.560649,8.586533,12.000000,10.000000,0.000000,0.000000,2.931624
0.200000,13.597064,8.965807,14.000000,10.000000,0.000000,0.000000,2.969715
0.200000,11.644171,9.268296,15.976288,9.762882,-1.185590,-5.927951,3.005869
0.200000,9.829729,9.486352,17.803865,8.512882,-6.250000,-25.322049,3.037872
0.200000,8.258640,9.628766,19.381441,7.262882,-6.250000,0.000000,3.064329
0.200000,6.934023,9.716980,20.709017,6.012882,-6.250000,-0.000000,3.085729
0.200000,5.857671,9.768070,21.786594,4.762882,-6.250000,0.000000,3.102506
0.200000,5.030545,9.795209,22.614170,3.512882,-6.250000,0.000000,3.115028
0.200000,4.453114,9.808075,23.191747,2.262882,-6.250000,0.000000,3.123579
0.200000,4.125578,9.813191,23.519323,1.012882,-6.250000,0.000000,3.128360
0.200000,4.024297,9.814457,23.620611,0.000000,-5.064410,5.927951,3.129828
0.200000,4.024297,9.814457,23.620611,0.000000,0.000000,25.322049,3.129828
