dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.061401,2.393891,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,23.376343,2.658965,0.536646,2.058232,4.041158,-11.044210,0.719544
0.200000,23.893287,3.153552,1.252081,3.577174,7.594712,17.767769,0.814188
0.200000,24.567969,4.071872,2.391602,5.697602,10.602142,15.037149,1.094078
0.200000,24.608459,6.038493,4.358640,9.835191,20.687941,50.429000,2.059420
0.200000,23.146164,7.312310,6.297947,9.696539,-0.693260,-106.906006,2.681454
0.200000,21.531001,7.935169,8.029047,8.655496,-5.205211,-22.559756,2.812858
0.200000,19.709659,8.517150,9.941111,9.560320,4.524117,48.646638,2.851659
0.200000,17.744580,9.060117,11.979823,10.193564,3.166219,-6.789490,2.892200
0.200000,15.760394,9.523821,14.017473,10.188247,-0.026583,-15.964009,2.931624
0.200000,13.760971,9.910021,16.053853,10.181900,-0.031735,-0.025760,2.969715
0.200000,11.773841,10.217818,18.064679,10.054131,-0.638843,-3.035541,3.005869
0.200000,9.928950,10.439536,19.922846,9.290833,-3.816489,-15.888230,3.037872
0.200000,8.332610,10.584242,21.525731,8.014425,-6.382043,-12.827767,3.064329
0.200000,6.987532,10.673820,22.873789,6.740291,-6.370668,0.056875,3.085729
0.200000,5.895120,10.725673,23.967431,5.468209,-6.360412,0.051275,3.102506
0.200000,5.056000,10.753206,24.807002,4.197854,-6.351774,0.043190,3.115028
0.200000,4.470376,10.766254,25.392771,2.928848,-6.345029,0.033728,3.123579
0.200000,4.138259,10.771442,25.724929,1.660791,-6.340289,0.023702,3.128360
0.200000,4.035571,10.772725,25.827625,0.513477,-5.736567,3.018609,3.129828
0.200000,4.035571,10.772725,25.827625,0.000000,-2.567386,15.845903,3.129828
