dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.906792,3.817968,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,22.168099,4.037829,0.466497,1.707485,2.287424,-19.812878,0.719544
0.200000,22.560144,4.412062,1.008484,2.709935,5.012252,13.624139,0.814188
0.200000,22.939040,4.913126,1.636678,3.140968,2.155165,-14.285437,1.094078
0.200000,22.989661,5.177905,1.906252,1.347871,-8.965486,-55.603252,2.059420
0.200000,22.332030,5.669659,2.727410,4.105792,13.789602,113.775438,2.681454
0.200000,20.905771,6.235629,4.261860,7.672250,17.832293,20.213456,2.762252
0.200000,19.140640,7.001376,6.185933,9.620364,9.740570,-40.458614,2.705877
0.200000,17.316564,7.895491,8.217360,10.157135,2.683853,-35.283587,2.669833
0.200000,15.533125,8.823112,10.227617,10.051286,-0.529245,-16.065490,2.658097
0.200000,13.768100,9.740596,12.216861,9.946218,-0.525337,0.019542,2.670375
0.200000,12.000446,10.605408,14.184728,9.839337,-0.534406,-0.045348,2.706971
0.200000,10.286572,11.344938,16.051347,9.333095,-2.531211,-9.984024,2.765439
0.200000,8.733746,11.897719,17.699631,8.241416,-5.458393,-14.635911,2.836818
0.200000,7.388006,12.268199,19.095435,6.979022,-6.311972,-4.267892,2.911063
0.200000,6.259914,12.492661,20.245642,5.751033,-6.139944,0.860136,2.980380
0.200000,5.358288,12.612438,21.155188,4.547733,-6.016499,0.617227,3.039136
0.200000,4.688686,12.666182,21.826944,3.358779,-5.944772,0.358635,3.084025
0.200000,4.253812,12.684825,22.262218,2.176368,-5.912052,0.163602,3.113511
0.200000,4.054626,12.689069,22.461449,0.996156,-5.901062,0.054947,3.127063
0.200000,4.014004,12.689603,22.502074,0.203127,-3.965145,9.679584,3.129828
0.200000,4.014004,12.689603,22.502074,0.000000,-1.015635,14.747554,3.129828
