dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.061401,2.393891,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,23.376343,2.658965,0.536646,2.058232,4.041158,-11.044210,0.719544
0.200000,23.893287,3.153552,1.252081,3.577174,7.594712,17.767769,0.814188
0.200000,24.567969,4.071872,2.391602,5.697602,10.602142,15.037149,1.094078
0.200000,24.608459,6.038493,4.358640,9.835191,20.687941,50.429000,2.059420
0.200000,23.146164,7.312310,6.297947,9.696539,-0.693260,-106.906006,2.681454
0.200000,21.584670,7.938630,7.980369,8.412107,-6.422160,-28.644503,2.762252
0.200000,19.914417,8.663419,9.801100,9.103659,3.457760,49.399599,2.705877
0.200000,18.149730,9.528571,11.766452,9.826758,3.615499,0.788694,2.669833
0.200000,16.385400,10.446301,13.755192,9.943702,0.584718,-15.153904,2.658097
0.200000,14.600382,11.374127,15.766945,10.058765,0.575315,-0.047016,2.670375
0.200000,12.772402,12.268297,17.801903,10.174787,0.580113,0.023990,2.706971
0.200000,10.960039,13.050094,19.775698,9.868974,-1.529067,-10.545900,2.765439
0.200000,9.283890,13.646564,21.554813,8.895579,-4.866974,-16.689533,2.836818
0.200000,7.806912,14.053034,23.086702,7.659443,-6.180680,-6.568529,2.911063
0.200000,6.554193,14.302224,24.363965,6.386314,-6.365647,-0.924837,2.980380
0.200000,5.545797,14.436158,25.381216,5.086258,-6.500279,-0.673157,3.039136
0.200000,4.794168,14.496480,26.135262,3.770227,-6.580157,-0.399392,3.084025
0.200000,4.305288,14.517437,26.624590,2.446644,-6.617914,-0.188786,3.113511
0.200000,4.081263,14.522211,26.848667,1.120381,-6.631313,-0.066996,3.127063
0.200000,4.035571,14.522812,26.894363,0.228480,-4.459506,10.859035,3.129828
0.200000,4.035571,14.522812,26.894363,0.000000,-1.142398,16.585540,3.129828
