dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.846995,3.877421,0.125000,1.250000,6.250000,31.250000,0.690676
0.200000,22.074441,4.079164,0.429026,1.520131,1.350656,-24.496720,0.764663
0.200000,22.370892,4.413788,0.876079,2.235264,3.575664,11.125037,0.949696
0.200000,22.538098,4.774247,1.273430,1.986757,-1.242537,-24.091001,1.444199
0.200000,22.404685,5.158360,1.680053,2.033113,0.231781,7.371587,2.183855
0.200000,21.642267,5.849415,2.709052,5.144994,15.559406,76.638126,2.539714
0.200000,20.399550,6.497872,4.110780,7.008642,9.318242,-31.205821,2.758869
0.200000,18.696802,7.077533,5.909489,8.993547,9.924522,3.031400,2.837965
0.200000,16.719056,7.773822,8.006225,10.483677,7.450651,-12.369354,2.736022
0.200000,14.754437,8.995507,10.319716,11.567457,5.418901,-10.158751,2.397103
0.200000,13.411091,11.023477,12.752254,12.162688,2.976154,-12.213735,1.921006
0.200000,13.003989,13.248222,15.013940,11.308432,-4.271280,-36.237171,1.633150
0.200000,12.770828,14.981836,16.763163,8.746113,-12.811596,-42.701578,1.890070
0.200000,12.024075,15.803670,17.873591,5.552143,-15.969850,-15.791274,2.772446
0.200000,10.433308,16.043369,19.482316,8.043625,12.457410,142.136300,3.049986
0.200000,8.811526,16.173866,21.109340,8.135119,0.457474,-59.999678,3.072434
0.200000,7.432892,16.256678,22.490458,6.905592,-6.147638,-33.025561,3.090625
0.200000,6.299160,16.306312,23.625277,5.674092,-6.157496,-0.049291,3.104965
0.200000,5.411410,16.334002,24.513459,4.440909,-6.165918,-0.042109,3.115801
0.200000,4.770289,16.348091,25.154734,3.206378,-6.172655,-0.033682,3.123412
0.200000,4.376166,16.354350,25.548907,1.970863,-6.177575,-0.024603,3.128001
0.200000,4.229230,16.356223,25.695855,0.734739,-6.180617,-0.015210,3.129695
0.200000,4.217574,16.356361,25.707512,0.058285,-3.382271,13.991730,3.129828
0.200000,4.217574,16.356361,25.707512,0.000000,-0.291426,15.454227,3.129828
