dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.068025,2.400022,0.125000,1.250000,6.250000,31.250000,0.690676
0.200000,23.401340,2.696065,0.570803,2.229013,4.895067,-6.774667,0.764663
0.200000,23.929601,3.298419,1.371984,4.005905,8.884461,19.946970,0.949696
0.200000,24.439429,4.532248,2.706996,6.675063,13.345788,22.306639,1.444199
0.200000,23.972314,6.261158,4.497897,8.954504,11.397206,-9.742914,2.183855
0.200000,22.727470,7.429276,6.204981,8.535418,-2.095430,-67.463180,2.539714
0.200000,21.115328,8.275873,8.025895,9.104572,2.845768,24.705992,2.758869
0.200000,19.269856,8.906531,9.976151,9.751277,3.233525,1.938784,2.837965
0.200000,17.475265,9.535007,11.877608,9.507285,-1.219961,-22.267431,2.736022
0.200000,16.053166,10.405091,13.544764,8.335783,-5.857510,-23.187745,2.397103
0.200000,15.211420,11.681077,15.073383,7.643095,-3.463437,11.970366,1.921006
0.200000,14.916935,13.367657,16.785480,8.560483,4.586939,40.251879,1.633150
0.200000,14.590637,15.583433,19.025153,11.198366,13.189414,43.012379,1.890070
0.200000,12.715648,17.591225,21.772298,13.735728,12.686811,-2.513016,2.772446
0.200000,10.608642,17.952003,23.909968,10.688349,-15.236895,-139.618530,3.049986
0.200000,8.943975,18.085955,25.580017,8.350242,-11.690534,17.731804,3.072434
0.200000,7.530538,18.170859,26.996001,7.079923,-6.351595,26.694694,3.090625
0.200000,6.369347,18.221697,28.158305,5.811517,-6.342031,0.047820,3.104965
0.200000,5.460838,18.250035,29.067256,4.544755,-6.333810,0.041109,3.115801
0.200000,4.805133,18.264444,29.723118,3.279314,-6.327204,0.033029,3.123412
0.200000,4.402216,18.270843,30.126087,2.014841,-6.322364,0.024199,3.128001
0.200000,4.252034,18.272757,30.276280,0.750968,-6.319366,0.014989,3.129695
0.200000,4.240121,18.272898,30.288194,0.059569,-3.456997,14.311847,3.129828
0.200000,4.240121,18.272898,30.288194,0.000000,-0.297843,15.795767,3.129828
