dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.842199,3.873897,0.125000,1.250000,6.250000,31.250000,0.696878
0.200000,22.046821,4.062123,0.403028,1.390138,0.700690,-27.746551,0.797944
0.200000,22.271294,4.351074,0.768925,1.829486,2.196738,7.480243,1.067204
0.200000,22.334716,4.620731,1.045940,1.385075,-2.222051,-22.093947,1.686010
0.200000,22.056765,5.202495,1.690693,3.223766,9.193453,57.077519,2.181191
0.200000,21.265384,6.157909,2.931298,6.203023,14.896285,28.514162,2.312806
0.200000,20.315103,6.733944,4.042535,5.556189,-3.234170,-90.652276,2.834831
0.200000,18.647482,7.017630,5.734113,8.457890,14.508506,88.713379,3.023541
0.200000,16.419377,7.546701,8.024173,11.450296,14.962028,2.267609,2.710424
0.200000,14.598397,9.208980,10.489763,12.327953,4.388287,-52.868702,2.171460
0.200000,13.515783,11.016912,12.597054,10.536453,-8.957502,-66.728945,2.058324
0.200000,12.613367,12.861088,14.650183,10.265646,-1.354036,38.017331,2.002603
0.200000,11.784767,14.681603,16.650396,10.001066,-1.322900,0.155680,2.002377
0.200000,10.930327,16.430874,18.597193,9.733985,-1.335403,-0.062519,2.057631
0.200000,9.961174,18.054675,20.488220,9.455134,-1.394253,-0.294248,2.170293
0.200000,8.807316,19.486935,22.327447,9.196137,-1.294987,0.496331,2.335848
0.200000,7.435053,20.664951,24.135991,9.042718,-0.767095,2.639460,2.523266
0.200000,5.874017,21.757329,26.041279,9.526439,2.418604,15.928493,2.548815
0.200000,4.465576,22.639383,27.703122,8.309219,-6.086100,-42.523518,2.624380
0.200000,3.232088,23.261779,29.084741,6.908092,-7.005636,-4.597680,2.731212
0.200000,2.179850,23.650602,30.206520,5.608897,-6.495974,2.548306,2.848326
0.200000,1.323912,23.860461,31.087809,4.406446,-6.012254,2.418604,2.955745
0.200000,0.677194,23.954087,31.741270,3.267302,-5.695720,1.582669,3.040269
0.200000,0.247623,23.985586,32.171993,2.153619,-5.568418,0.636511,3.096488
0.200000,0.038999,23.992172,32.380721,1.043640,-5.549892,0.092629,3.123538
0.200000,-0.009796,23.992900,32.429522,0.244004,-3.998180,7.758561,3.129828
0.200000,-0.009796,23.992900,32.429522,0.000000,-1.220021,13.890793,3.129828
