dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.457284,3.138998,0.125000,1.250000,6.250000,31.250000,0.696878
0.200000,22.732914,3.393033,0.500000,2.500000,6.250000,0.000000,0.797944
0.200000,23.110656,3.888605,1.125000,3.750000,6.250000,0.000000,1.067204
0.200000,23.286698,4.730900,2.000000,5.000000,6.250000,0.000000,1.686010
0.200000,22.842045,5.751804,3.125000,6.250000,6.250000,0.000000,2.181191
0.200000,21.971784,6.805524,4.500000,7.500000,6.250000,0.000000,2.312806
0.200000,20.604495,7.647540,6.125000,8.750000,6.250000,0.000000,2.834831
0.200000,18.760353,7.969295,8.000000,10.000000,6.250000,0.000000,3.023541
0.200000,16.819896,8.417327,10.000000,10.000000,0.000000,-31.250000,2.710424
0.200000,15.388986,9.750621,12.000000,10.000000,0.000000,0.000000,2.171460
0.200000,14.362466,11.465838,14.000000,10.000000,0.000000,0.000000,2.058324
0.200000,13.483737,13.262164,16.000000,10.000000,0.000000,0.000000,2.002603
0.200000,12.655228,15.082481,18.000000,10.000000,0.000000,0.000000,2.002377
0.200000,11.777321,16.879213,20.000000,10.000000,0.000000,0.000000,2.057631
0.200000,10.752395,18.595393,22.000000,10.000000,0.000000,0.000000,2.170293
0.200000,9.498608,20.150653,24.000000,10.000000,0.000000,0.000000,2.335848
0.200000,7.990573,21.445850,26.000000,10.000000,0.000000,0.000000,2.523266
0.200000,6.409407,22.552165,27.929829,9.298287,-3.508563,-17.542816,2.548815
0.200000,4.939434,23.472368,29.664486,8.048287,-6.250000,-13.707184,2.624380
0.200000,3.614425,24.140542,31.149144,6.798287,-6.250000,0.000000,2.731212
0.200000,2.456886,24.568021,32.383801,5.548287,-6.250000,0.000000,2.848326
0.200000,1.500993,24.802293,33.368459,4.298287,-6.250000,0.000000,2.955745
0.200000,0.774130,24.907507,34.103116,3.048287,-6.250000,0.000000,3.040269
0.200000,0.290834,24.942946,34.587774,1.798287,-6.250000,0.000000,3.096488
0.200000,0.056301,24.950351,34.822431,0.548287,-6.250000,0.000000,3.123538
0.200000,0.001478,24.951168,34.877260,0.000000,-2.741437,17.542816,3.129828
0.200000,0.001478,24.951168,34.877260,0.000000,0.000000,13.707184,3.129828
