dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.018882,2.468005,0.125000,1.250000,6.250000,31.250000,0.696878
0.200000,23.359346,2.782125,0.588236,2.316181,5.330904,-4.595481,0.797944
0.200000,23.877028,3.466352,1.446234,4.289990,9.869046,22.690712,1.067204
0.200000,24.155897,4.831489,2.839564,6.966647,13.383286,17.571198,1.686010
0.200000,23.559039,6.253346,4.381614,7.710250,3.718013,-48.326366,2.181191
0.200000,22.616757,7.396824,5.863314,7.408502,-1.508736,-26.133744,2.312806
0.200000,20.868721,8.481692,7.920634,10.286602,14.390498,79.496170,2.834831
0.200000,18.863408,8.838205,9.957393,10.183792,-0.514051,-74.522742,3.023541
0.200000,17.185588,9.212245,11.676400,8.595036,-7.943781,-37.148652,2.710424
0.200000,16.110827,10.245163,13.167047,7.453236,-5.708999,11.173912,2.171460
0.200000,15.135523,11.875726,15.067035,9.499941,10.233523,79.712606,2.058324
0.200000,14.278422,13.628362,17.018024,9.754942,1.275007,-44.792577,2.002603
0.200000,13.449996,15.448500,19.017821,9.998989,1.220232,-0.273876,2.002377
0.200000,12.550661,17.288565,21.065904,10.240412,1.207117,-0.065577,2.057631
0.200000,11.474812,19.089092,23.163367,10.487315,1.234516,0.136997,2.170293
0.200000,10.129786,20.756656,25.305764,10.711984,1.123345,-0.555855,2.335848
0.200000,8.497787,22.158843,27.457402,10.758192,0.231039,-4.461533,2.523266
0.200000,6.898241,23.277883,29.409529,9.760633,-4.987792,-26.094155,2.548815
0.200000,5.372086,24.232919,31.209874,9.001727,-3.794533,5.966296,2.624380
0.200000,3.963513,24.942890,32.787256,7.886911,-5.574077,-8.897718,2.731212
0.200000,2.709832,25.405662,34.123623,6.681833,-6.025390,-2.256567,2.848326
0.200000,1.662675,25.662226,35.201752,5.390647,-6.455931,-2.152704,2.955745
0.200000,0.862637,25.778019,36.010127,4.041871,-6.743879,-1.439741,3.040269
0.200000,0.330287,25.817056,36.543905,2.668894,-6.864886,-0.605036,3.096488
0.200000,0.072097,25.825208,36.802224,1.291593,-6.886506,-0.108097,3.123538
0.200000,0.011771,25.826108,36.862557,0.301665,-4.949637,9.684344,3.129828
0.200000,0.011771,25.826108,36.862557,0.000000,-1.508327,17.206551,3.129828
