dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.896252,3.124806,0.125000,1.250000,6.250000,31.250000,3.145331
0.200000,17.532447,3.121107,0.488824,1.819121,2.845603,-17.021987,3.158101
0.200000,16.925274,3.104896,1.096213,3.036943,6.089111,16.217543,3.178216
0.200000,16.073781,3.062544,1.948759,4.262730,6.128935,0.199120,3.203851
0.200000,14.977010,2.977990,3.048784,5.500125,6.186977,0.290211,3.232352
0.200000,13.633941,2.835968,4.399341,6.752787,6.263309,0.381658,3.260236
0.200000,12.042888,2.626236,6.004158,8.024086,6.356497,0.465938,3.283261
0.200000,10.200261,2.348730,7.867564,9.317030,6.464718,0.541104,3.296496
0.200000,8.227623,2.039538,9.864287,9.983613,3.332913,-15.659021,3.294960
0.200000,6.368014,1.765085,11.744039,9.398761,-2.924257,-31.285854,3.278946
0.200000,4.743049,1.559955,13.381901,8.189308,-6.047267,-15.615046,3.253636
0.200000,3.358024,1.424035,14.773580,6.958394,-6.154570,-0.536519,3.223956
0.200000,2.218843,1.346614,15.915388,5.709042,-6.246757,-0.460933,3.194137
0.200000,1.330613,1.311487,16.804312,4.444621,-6.322106,-0.376746,3.167633
0.200000,0.696937,1.301433,17.438068,3.168779,-6.379212,-0.285527,3.147054
0.200000,0.319909,1.301787,17.815096,1.885140,-6.418193,-0.194909,3.134172
0.200000,0.195734,1.302978,17.939277,0.620904,-6.321182,0.485055,3.129828
0.200000,0.195734,1.302978,17.939277,0.000000,-3.104518,16.083320,3.129828
