dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,20.118787,4.275581,0.125000,1.250000,6.250000,31.250000,1.580166
0.200000,20.107585,4.686162,0.535734,2.053671,4.018357,-11.158216,1.617483
0.200000,20.043602,5.397643,1.250086,3.571759,7.590439,17.860413,1.710988
0.200000,19.728733,6.521766,2.417475,5.836943,11.325916,18.677384,2.020937
0.200000,17.902406,7.609452,4.543158,10.628418,23.957376,63.157300,3.215691
0.200000,16.253386,7.037326,6.288608,8.727248,-9.505848,-167.316123,3.614609
0.200000,15.013290,6.479509,7.648386,6.798893,-9.641775,-0.679635,3.341244
0.200000,13.225413,6.261130,9.449551,9.005823,11.034648,103.382115,3.272790
0.200000,11.199505,5.945123,11.499956,10.252027,6.231024,-24.018116,3.325638
0.200000,9.168255,5.479353,13.583924,10.419837,0.839046,-26.959893,3.413966
0.200000,7.192509,4.803057,15.672212,10.441439,0.108013,-3.655165,3.533343
0.200000,5.546005,4.118988,17.455166,8.914773,-7.633332,-38.706726,3.497109
0.200000,4.126926,3.659370,18.946821,7.458275,-7.282487,1.754228,3.410360
0.200000,2.912921,3.377086,20.193212,6.231955,-6.131602,5.754425,3.328427
0.200000,1.917795,3.225177,21.199866,5.033271,-5.993421,0.690905,3.257063
0.200000,1.150086,3.158099,21.970500,3.853168,-5.900515,0.464525,3.200171
0.200000,0.613914,3.137474,22.507069,2.682843,-5.851622,0.244467,3.159837
0.200000,0.310651,3.135418,22.810338,1.516349,-5.832473,0.095748,3.136899
0.200000,0.217302,3.136186,22.903692,0.466765,-5.247918,2.922774,3.129828
0.200000,0.217302,3.136186,22.903692,0.000000,-2.333827,14.570452,3.129828
