dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.952215,5.019457,0.125000,1.250000,6.250000,31.250000,1.617517
0.200000,18.921752,5.393138,0.500000,2.500000,6.250000,0.000000,1.689447
0.200000,18.800652,6.005581,1.125000,3.750000,6.250000,0.000000,1.853209
0.200000,18.424907,6.790748,2.000000,5.000000,6.250000,0.000000,2.205479
0.200000,17.552828,7.481618,3.125000,6.250000,6.250000,0.000000,2.712517
0.200000,16.227249,7.829194,4.500000,7.500000,6.250000,0.000000,2.996087
0.200000,14.617023,8.046268,6.125000,8.750000,6.250000,0.000000,2.961447
0.200000,12.833647,8.584158,8.000000,10.000000,6.250000,0.000000,2.841554
0.200000,10.966104,9.080528,9.932889,9.328890,-3.355552,-48.027762,2.920808
0.200000,9.256317,9.405946,11.673667,8.078890,-6.250000,-14.472238,2.984978
0.200000,7.778605,9.601763,13.164445,6.828890,-6.250000,-0.000000,3.033726
0.200000,6.542863,9.712690,14.405223,5.578890,-6.250000,0.000000,3.069705
0.200000,5.553825,9.770928,15.396001,4.328890,-6.250000,0.000000,3.095399
0.200000,4.813573,9.798582,16.136778,3.078890,-6.250000,0.000000,3.112857
0.200000,4.322931,9.810020,16.627556,1.828890,-6.250000,0.000000,3.123605
0.200000,4.082182,9.813741,16.868334,0.578890,-6.250000,0.000000,3.128641
0.200000,4.024297,9.814457,16.926223,0.000000,-2.894448,16.777762,3.129828
0.200000,4.024297,9.814457,16.926223,0.000000,0.000000,14.472238,3.129828
