dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.909253,4.876292,0.125000,1.250000,6.250000,31.250000,3.112821
0.200000,17.625288,4.898651,0.409843,1.424216,0.871082,-26.894589,3.009929
0.200000,17.188454,5.000271,0.858342,2.242493,4.091382,16.101497,2.809081
0.200000,16.643655,5.286083,1.473561,3.076098,4.168026,0.383224,2.514781
0.200000,16.008720,5.910976,2.364422,4.454305,6.891035,13.615042,2.250176
0.200000,15.270894,6.966628,3.652362,6.439696,9.926955,15.179601,2.151302
0.200000,14.214580,8.386823,5.422321,8.849795,12.050496,10.617707,2.319508
0.200000,12.401837,9.622980,7.616431,10.970550,10.603771,-7.233625,2.714225
0.200000,10.457448,10.280404,9.668955,10.262624,-3.539630,-70.717007,2.910671
0.200000,8.727819,10.565774,11.421968,8.765061,-7.487811,-19.740903,3.037843
0.200000,7.278532,10.662485,12.874477,7.262548,-7.512569,-0.123790,3.106265
0.200000,6.110086,10.684318,14.043127,5.843251,-7.096484,2.080424,3.135714
0.200000,5.211201,10.685494,14.942014,4.494432,-6.744093,1.761956,3.142529
0.200000,4.571583,10.685714,15.581631,3.198088,-6.481723,1.311848,3.138750
0.200000,4.183830,10.687871,15.969391,1.938796,-6.296459,0.926318,3.132846
0.200000,4.043387,10.689293,16.109841,0.702251,-6.182726,0.568666,3.130018
0.200000,4.034591,10.689396,16.118637,0.043983,-3.291337,14.456947,3.129828
0.200000,4.034591,10.689396,16.118637,0.000000,-0.219917,15.357100,3.129828
