dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.878510,3.125948,0.125000,1.250000,6.250000,31.250000,3.125894
0.200000,17.451420,3.145224,0.552524,2.137621,4.438107,-9.059464,3.065789
0.200000,16.726838,3.243400,1.283727,3.656013,7.591957,15.769251,2.943898
0.200000,15.709217,3.563216,2.350421,5.333470,8.387286,3.976645,2.722309
0.200000,14.533022,4.345554,3.763038,7.063087,8.648082,1.303979,2.385868
0.200000,13.545244,5.669583,5.414933,8.259475,5.981944,-13.330692,2.060980
0.200000,12.873258,7.311503,7.189044,8.870553,3.055387,-14.632783,1.888005
0.200000,12.312870,9.092564,9.056184,9.335702,2.325747,-3.648200,1.896924
0.200000,11.579764,10.690020,10.813827,8.788214,-2.737440,-25.315936,2.167830
0.200000,10.496581,11.631085,12.248710,7.174417,-8.068988,-26.657739,2.713931
0.200000,8.995996,12.112569,13.824649,7.879693,3.526380,57.976840,2.890343
0.200000,7.614074,12.402265,15.236609,7.059798,-4.099472,-38.129261,2.977179
0.200000,6.439902,12.559213,16.421224,5.923077,-5.683608,-7.920680,3.038418
0.200000,5.490858,12.637178,17.373465,4.761204,-5.809361,-0.628763,3.079648
0.200000,4.776384,12.671819,18.088779,3.576569,-5.923175,-0.569070,3.105992
0.200000,4.301619,12.685014,18.563726,2.374738,-6.009154,-0.429898,3.121343
0.200000,4.069306,12.688909,18.796073,1.161731,-6.065037,-0.279414,3.128244
0.200000,4.014004,12.689603,18.851379,0.276531,-4.426001,8.195182,3.129828
0.200000,4.014004,12.689603,18.851379,0.000000,-1.382654,15.216734,3.129828
