dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.952246,5.427748,0.125000,1.250000,6.250000,31.250000,1.615764
0.200000,18.925213,5.801724,0.500000,2.500000,6.250000,0.000000,1.671197
0.200000,18.830401,6.419188,1.125000,3.750000,6.250000,0.000000,1.778277
0.200000,18.576215,7.255202,2.000000,5.000000,6.250000,0.000000,1.959306
0.200000,18.019110,8.228772,3.125000,6.250000,6.250000,0.000000,2.223628
0.200000,17.033378,9.180629,4.500000,7.500000,6.250000,0.000000,2.508990
0.200000,15.624242,9.984208,6.125000,8.750000,6.250000,0.000000,2.713636
0.200000,13.879400,10.669019,8.000000,10.000000,6.250000,0.000000,2.798998
0.200000,12.010916,11.355229,10.000000,10.000000,0.000000,-31.250000,2.770676
0.200000,10.247644,12.052458,11.896121,8.961208,-5.193960,-25.969799,2.767815
0.200000,8.685850,12.635666,13.563362,7.711208,-6.250000,-5.280201,2.807196
0.200000,7.333994,13.060345,14.980604,6.461208,-6.250000,-0.000000,2.872044
0.200000,6.198760,13.330642,16.147846,5.211208,-6.250000,0.000000,2.946744
0.200000,5.293454,13.476930,17.065087,3.961208,-6.250000,0.000000,3.017671
0.200000,4.629354,13.540659,17.732329,2.711208,-6.250000,0.000000,3.074856
0.200000,4.212618,13.560690,18.149570,1.461208,-6.250000,0.000000,3.112477
0.200000,4.045417,13.564274,18.316812,0.211208,-6.250000,0.000000,3.127873
0.200000,4.024297,13.564543,18.337933,0.000000,-1.056040,25.969799,3.129828
0.200000,4.024297,13.564543,18.337933,0.000000,0.000000,5.280201,3.129828
