dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.905982,4.875732,0.125000,1.250000,6.250000,31.250000,3.125894
0.200000,17.583949,4.890199,0.447358,1.611788,1.808938,-22.205310,3.065789
0.200000,17.070555,4.959313,0.965383,2.590127,4.891695,15.413786,2.943898
0.200000,16.421653,5.161632,1.645094,3.398556,4.042149,-4.247730,2.722309
0.200000,15.733199,5.619160,2.471714,4.133097,3.672705,-1.847220,2.385868
0.200000,15.089175,6.493461,3.557610,5.429479,6.481910,14.046023,2.060980
0.200000,14.535950,7.857356,5.029434,7.359122,9.648211,15.831509,1.888005
0.200000,13.970627,9.653224,6.912180,9.413731,10.273045,3.124168,1.896924
0.200000,13.027027,11.673855,9.142277,11.150484,8.683765,-7.946400,2.167830
0.200000,11.222383,13.223477,11.520946,11.893344,3.714302,-24.847313,2.713931
0.200000,9.431071,13.807624,13.405097,9.420757,-12.362937,-80.386196,2.890343
0.200000,7.900505,14.128665,14.968971,7.819369,-8.006940,21.779985,2.977179
0.200000,6.620138,14.299907,16.260738,6.458836,-6.802661,6.021394,3.038418
0.200000,5.599192,14.383822,17.285127,5.121945,-6.684458,0.591016,3.079648
0.200000,4.838672,14.420710,18.046540,3.807067,-6.574390,0.550341,3.105992
0.200000,4.337053,14.434655,18.548353,2.509063,-6.490018,0.421861,3.121343
0.200000,4.092665,14.438753,18.792776,1.222114,-6.434748,0.276349,3.128244
0.200000,4.034591,14.439482,18.850854,0.290394,-4.658598,8.880750,3.129828
0.200000,4.034591,14.439482,18.850854,0.000000,-1.451971,16.033134,3.129828
