dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.893583,3.125377,0.125000,1.250000,6.250000,31.250000,3.134469
0.200000,17.493663,3.133846,0.525009,2.000047,3.750236,-12.498822,3.105877
0.200000,16.821472,3.176013,1.198522,3.367563,6.837579,15.436718,3.050335
0.200000,15.869159,3.308991,2.160075,4.807763,7.200999,1.817099,2.950963
0.200000,14.636530,3.657708,3.441081,6.405032,7.986346,3.926736,2.770679
0.200000,13.208922,4.483279,5.090212,8.245654,9.203108,6.083809,2.449177
0.200000,11.991822,6.043438,7.068956,9.893720,8.240329,-4.813894,2.027751
0.200000,11.380783,8.080160,9.195363,10.632036,3.691581,-22.743743,1.731446
0.200000,11.185912,10.165324,11.289613,10.471250,-0.803928,-22.477541,1.622524
0.200000,11.072445,12.131016,13.258577,9.844822,-3.132140,-11.641063,1.657853
0.200000,10.764822,13.921588,15.075382,9.084024,-3.803989,-3.359242,1.863596
0.200000,10.042050,15.331064,16.659371,7.919944,-5.820403,-10.082072,2.237473
0.200000,9.017134,16.163520,17.979763,6.601960,-6.589920,-3.847584,2.699156
0.200000,7.859972,16.474805,19.178063,5.991502,-3.052288,17.688159,3.022577
0.200000,6.742319,16.521363,20.296685,5.593109,-1.991968,5.301599,3.156437
0.200000,5.785951,16.486227,21.253699,4.785069,-4.040200,-10.241159,3.190177
0.200000,5.039726,16.452454,22.000687,3.734942,-5.250636,-6.052180,3.178280
0.200000,4.530857,16.439714,22.509716,2.545142,-5.948996,-3.491799,3.152612
0.200000,4.278539,16.439129,22.762034,1.261594,-6.417742,-2.343730,3.134624
0.200000,4.218554,16.439690,22.822022,0.299937,-4.808284,8.047291,3.129828
0.200000,4.218554,16.439690,22.822022,0.000000,-1.499687,16.542986,3.129828
