dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.955496,5.365931,0.125000,1.250000,6.250000,31.250000,1.586974
0.200000,18.939406,5.740540,0.500000,2.500000,6.250000,0.000000,1.641461
0.200000,18.863684,6.360648,1.125000,3.750000,6.250000,0.000000,1.746134
0.200000,18.638406,7.204975,2.000000,5.000000,6.250000,0.000000,1.922506
0.200000,18.119265,8.199365,3.125000,6.250000,6.250000,0.000000,2.185054
0.200000,17.163466,9.180263,4.500000,7.500000,6.250000,0.000000,2.491857
0.200000,15.799566,10.052262,6.125000,8.750000,6.250000,0.000000,2.585289
0.200000,14.306054,11.178284,8.000000,10.000000,6.250000,0.000000,2.345909
0.200000,13.366265,12.911069,10.000000,10.000000,0.000000,-31.250000,1.772094
0.200000,13.296549,14.901386,12.000000,10.000000,0.000000,0.000000,1.595647
0.200000,12.484516,16.616856,14.000000,10.000000,0.000000,0.000000,2.634368
0.200000,10.647380,16.985961,15.895249,8.952486,-5.237571,-26.187855,3.048213
0.200000,8.987503,17.122227,17.560746,7.702486,-6.250000,-5.062145,3.070969
0.200000,7.574686,17.208971,18.976243,6.452486,-6.250000,0.000000,3.089439
0.200000,6.410370,17.261180,20.141740,5.202486,-6.250000,0.000000,3.104031
0.200000,5.495346,17.290470,21.057237,3.952486,-6.250000,0.000000,3.115097
0.200000,4.830020,17.305488,21.722734,2.702486,-6.250000,-0.000000,3.122921
0.200000,4.414578,17.312248,22.138232,1.452486,-6.250000,0.000000,3.127711
0.200000,4.249095,17.314389,22.303729,0.202486,-6.250000,0.000000,3.129598
0.200000,4.228848,17.314629,22.323977,0.000000,-1.012429,26.187855,3.129828
0.200000,4.228848,17.314629,22.323977,0.000000,0.000000,5.062145,3.129828
