dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.913706,5.381435,0.125000,1.250000,6.250000,31.250000,1.586974
0.200000,19.895349,5.808204,0.552164,2.135818,4.429091,-9.104546,1.641461
0.200000,19.807325,6.527820,1.277144,3.624901,7.445413,15.081613,1.746134
0.200000,19.538076,7.535125,2.319812,5.213341,7.942202,2.483944,1.922506
0.200000,18.902418,8.751703,3.692447,6.863173,8.249157,1.534776,2.185054
0.200000,17.743235,9.943332,5.354880,8.312165,7.244963,-5.020974,2.491857
0.200000,16.305616,10.866092,7.063164,8.541423,1.146287,-30.493379,2.585289
0.200000,14.990633,11.848923,8.704851,8.208433,-1.664951,-14.056188,2.345909
0.200000,14.305249,13.102680,10.133717,7.144329,-5.320516,-18.277826,1.772094
0.200000,14.254588,14.925199,11.956940,9.116116,9.858933,75.897244,1.595647
0.200000,12.950030,17.454533,14.802884,14.229722,25.568028,78.545475,2.634368
0.200000,10.736739,17.940121,17.068817,11.329666,-14.500278,-200.341528,3.048213
0.200000,9.055128,18.078173,18.756086,8.436344,-14.466613,0.168325,3.070969
0.200000,7.624644,18.166003,20.189263,7.165885,-6.352293,40.571597,3.089439
0.200000,6.446358,18.218839,21.368734,5.897354,-6.342654,0.048193,3.104031
0.200000,5.520734,18.248469,22.294832,4.630488,-6.334332,0.041611,3.115097
0.200000,4.847912,18.263655,22.967825,3.364965,-6.327612,0.033601,3.122921
0.200000,4.427881,18.270490,23.387912,2.100435,-6.322650,0.024810,3.127711
0.200000,4.260589,18.272655,23.555218,0.836530,-6.319526,0.015620,3.129598
0.200000,4.240121,18.272898,23.575687,0.102346,-3.670922,13.243019,3.129828
0.200000,4.240121,18.272898,23.575687,0.000000,-0.511728,15.795969,3.129828
