dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.917835,3.125134,0.125000,1.250000,6.250000,31.250000,3.138317
0.200000,17.528688,3.129525,0.514171,1.945857,3.479283,-13.853583,3.122108
0.200000,16.877869,3.151759,1.165370,3.255995,6.550693,15.357050,3.092147
0.200000,15.962162,3.219090,2.083549,4.590894,6.674495,0.619010,3.042692
0.200000,14.778155,3.382922,3.278837,5.976437,6.927714,1.266091,2.961981
0.200000,13.328957,3.743877,4.772311,7.467372,7.454675,2.634805,2.825244
0.200000,11.663306,4.507703,6.604747,9.162181,8.474043,5.096840,2.583038
0.200000,10.049524,6.005324,8.806374,11.008135,9.229774,3.778656,2.193535
0.200000,9.097715,8.117207,11.122835,11.582304,2.870843,-31.794654,1.815839
0.200000,8.825073,10.286085,13.308782,10.929734,-3.262851,-30.668469,1.598395
0.200000,8.887499,12.372484,15.396115,10.436665,-2.465347,3.987520,1.497576
0.200000,9.073061,14.387351,17.419508,10.116968,-1.598483,4.334319,1.470768
0.200000,9.245483,16.348462,19.388185,9.843383,-1.367927,1.152781,1.506445
0.200000,9.275730,18.247855,21.287818,9.498167,-1.726080,-1.790767,1.619992
0.200000,9.002019,20.014051,23.075098,8.936396,-2.808852,-5.413858,1.858289
0.200000,8.254014,21.476885,24.718081,8.214918,-3.607391,-3.992699,2.253774
0.200000,6.967326,22.531753,26.381905,8.319121,0.521016,20.642034,2.595214
0.200000,5.464470,23.261541,28.052584,8.353394,0.171365,-1.748251,2.780749
0.200000,4.061406,23.679520,29.516584,7.319998,-5.166983,-26.691741,2.918210
0.200000,2.825695,23.898740,30.771590,6.275030,-5.224838,-0.289275,3.009629
0.200000,1.795605,24.004341,31.807078,5.177442,-5.487943,-1.315524,3.066551
0.200000,0.990914,24.050669,32.613102,4.030121,-5.736605,-1.243312,3.100120
0.200000,0.421931,24.068821,33.182375,2.846362,-5.918791,-0.910928,3.118582
0.200000,0.094221,24.074890,33.510140,1.638827,-6.037676,-0.594429,3.127346
0.200000,-0.008816,24.076229,33.613186,0.515229,-5.617992,2.098423,3.129828
0.200000,-0.008816,24.076229,33.613186,0.000000,-2.576144,15.209236,3.129828
