dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.955396,5.358842,0.125000,1.250000,6.250000,31.250000,1.589762
0.200000,18.935841,5.733259,0.500000,2.500000,6.250000,0.000000,1.657339
0.200000,18.843280,6.350941,1.125000,3.750000,6.250000,0.000000,1.784621
0.200000,18.574843,7.182213,2.000000,5.000000,6.250000,0.000000,1.984119
0.200000,17.997480,8.144388,3.125000,6.250000,6.250000,0.000000,2.231343
0.200000,17.036152,9.123898,4.500000,7.500000,6.250000,0.000000,2.441984
0.200000,15.731006,10.090856,6.125000,8.750000,6.250000,0.000000,2.540897
0.200000,14.201434,11.174694,8.000000,10.000000,6.250000,0.000000,2.477637
0.200000,12.807639,12.584420,10.000000,10.000000,0.000000,-31.250000,2.189074
0.200000,11.857916,14.339878,12.000000,10.000000,0.000000,0.000000,1.968505
0.200000,11.174104,16.218840,14.000000,10.000000,0.000000,0.000000,1.895030
0.200000,10.495646,18.099815,16.000000,10.000000,0.000000,0.000000,1.962697
0.200000,9.561347,19.863772,18.000000,10.000000,0.000000,0.000000,2.177458
0.200000,8.185990,21.303956,20.000000,10.000000,0.000000,0.000000,2.495707
0.200000,6.603747,22.420345,21.945484,9.454840,-2.725800,-13.628998,2.542503
0.200000,5.115740,23.370704,23.711452,8.204840,-6.250000,-17.621002,2.612802
0.200000,3.771831,24.070698,25.227420,6.954840,-6.250000,-0.000000,2.716824
0.200000,2.591467,24.526311,26.493388,5.704840,-6.250000,0.000000,2.833830
0.200000,1.608564,24.781377,27.509356,4.454840,-6.250000,0.000000,2.943362
0.200000,0.851967,24.899235,28.275324,3.204840,-6.250000,0.000000,3.031187
0.200000,0.337746,24.940701,28.791292,1.954840,-6.250000,0.000000,3.091054
0.200000,0.071953,24.950054,29.057260,0.704840,-6.250000,0.000000,3.121740
0.200000,0.001478,24.951168,29.127744,0.000000,-3.524200,13.628998,3.129828
0.200000,0.001478,24.951168,29.127744,0.000000,0.000000,17.621002,3.129828
