dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.913559,5.377016,0.125000,1.250000,6.250000,31.250000,1.589762
0.200000,19.890589,5.816093,0.564677,2.198385,4.741923,-7.540386,1.657339
0.200000,19.779791,6.554298,1.311151,3.732372,7.669936,14.640068,1.784621
0.200000,19.452478,7.567133,2.375561,5.322047,7.948375,1.392193,1.984119
0.200000,18.754236,8.732373,3.733988,6.792138,7.350455,-2.989598,2.231343
0.200000,17.653242,9.857115,5.307912,7.869617,5.387397,-9.815294,2.441984
0.200000,16.272673,10.881428,7.026977,8.595325,3.628538,-8.794295,2.540897
0.200000,14.791996,11.929441,8.841016,9.070197,2.374363,-6.270873,2.477637
0.200000,13.588565,13.139902,10.547902,8.534429,-2.678841,-25.266018,2.189074
0.200000,12.741454,14.711047,12.332865,8.924817,1.951937,23.153888,1.968505
0.200000,12.082505,16.524149,14.261998,9.645664,3.604236,8.261498,1.895030
0.200000,11.381325,18.465847,16.326421,10.322117,3.382264,-1.109864,1.962697
0.200000,10.348672,20.410145,18.527936,11.007574,3.427289,0.225126,2.177458
0.200000,8.762818,22.069250,20.823054,11.475587,2.340063,-5.436129,2.495707
0.200000,7.144144,23.211785,22.804339,9.906425,-7.845808,-50.929358,2.542503
0.200000,5.599210,24.198147,24.637296,9.164785,-3.708201,20.688038,2.612802
0.200000,4.166771,24.943870,26.252221,8.074626,-5.450794,-8.712965,2.716824
0.200000,2.881773,25.439617,27.629532,6.886557,-5.940348,-2.447769,2.833830
0.200000,1.797293,25.720945,28.749907,5.601875,-6.423411,-2.415319,2.943362
0.200000,0.957558,25.851736,29.599767,4.249298,-6.762881,-1.697350,3.031187
0.200000,0.386159,25.897812,30.173021,2.866273,-6.915128,-0.761235,3.091054
0.200000,0.090978,25.908201,30.468385,1.476818,-6.947271,-0.160713,3.121740
0.200000,0.012751,25.909437,30.546621,0.391180,-5.428191,7.595399,3.129828
0.200000,0.012751,25.909437,30.546621,0.000000,-1.955901,17.361452,3.129828
