dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.846638,2.132549,0.123818,1.238176,6.190881,30.954407,2.793140
0.200000,14.527831,2.241938,0.460869,1.685257,2.235404,-19.777389,2.829018
0.200000,13.988508,2.398542,1.022469,2.808001,5.613718,16.891572,2.888916
0.200000,13.218329,2.563725,1.810162,3.938466,5.652329,0.193056,2.971151
0.200000,12.206316,2.685913,2.829525,5.096811,5.791724,0.696972,3.069844
0.200000,10.944082,2.708797,4.091967,6.312211,6.077000,1.426383,3.173136
0.200000,9.427423,2.586756,5.613528,7.607805,6.477969,2.004846,3.264480
0.200000,7.805150,2.332542,7.255598,8.210349,3.012718,-17.326258,3.322937
0.200000,6.313811,2.039411,8.775472,7.599373,-3.054878,-30.337979,3.343270
0.200000,5.041981,1.781204,10.073248,6.488880,-5.552468,-12.487950,3.336983
0.200000,3.996388,1.584260,11.137227,5.319896,-5.844916,-1.462240,3.316238
0.200000,3.186359,1.451376,11.958083,4.104279,-6.078088,-1.165860,3.290781
0.200000,2.621411,1.372760,12.528475,2.851960,-6.261596,-0.917541,3.268287
0.200000,2.308961,1.335164,12.843179,1.573520,-6.392200,-0.653020,3.254206
0.200000,2.216631,1.324926,12.936075,0.464481,-5.545191,4.235047,3.249824
0.200000,2.216631,1.324926,12.936075,0.000000,-2.322407,16.113916,3.249824
0.200000,2.216631,1.324926,12.936075,0.000000,0.000000,11.612037,3.249824
