dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.173855,3.033290,0.123818,1.238176,6.190881,30.954407,2.793140
0.200000,14.822528,3.153837,0.495271,2.476353,6.190881,0.000000,2.829018
0.200000,14.228088,3.326447,1.114359,3.714529,6.190881,0.000000,2.888916
0.200000,13.380880,3.508174,1.981082,4.952705,6.190881,0.000000,2.971151
0.200000,12.275017,3.641782,3.095441,6.190881,6.190881,-0.000000,3.069844
0.200000,10.913857,3.666655,4.457435,7.429058,6.190881,0.000000,3.173136
0.200000,9.309952,3.537864,6.067064,8.667234,6.190881,0.000000,3.264480
0.200000,7.632313,3.275163,7.765390,8.316028,-1.756027,-39.734540,3.322937
0.200000,6.121844,2.978322,9.304778,7.077852,-6.190881,-22.174273,3.343270
0.200000,4.855921,2.721304,10.596531,5.839676,-6.190881,0.000000,3.336983
0.200000,3.829869,2.528017,11.640648,4.601500,-6.190881,0.000000,3.316238
0.200000,3.043916,2.399066,12.437131,3.363323,-6.190881,-0.000000,3.290781
0.200000,2.500320,2.323414,12.985978,2.125147,-6.190881,0.000000,3.268287
0.200000,2.201268,2.287428,13.287190,0.886971,-6.190881,0.000000,3.254206
0.200000,2.113111,2.277653,13.375887,0.000000,-4.434855,8.780134,3.249824
0.200000,2.113111,2.277653,13.375887,0.000000,0.000000,22.174273,3.249824
0.200000,2.113111,2.277653,13.375887,0.000000,0.000000,0.000000,3.249824
