dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.472619,3.855704,0.123818,1.238176,6.190881,30.954407,2.793140
0.200000,15.091599,3.986438,0.526642,2.014120,3.879719,-11.555812,2.829018
0.200000,14.446834,4.173663,1.198040,3.356990,6.714347,14.173143,2.888916
0.200000,13.529295,4.370495,2.136453,4.692069,6.675398,-0.194745,2.971151
0.200000,12.337743,4.514531,3.336680,6.001131,6.545311,-0.650440,3.069844
0.200000,10.886261,4.541220,4.788407,7.258636,6.287523,-1.288936,3.173136
0.200000,9.202696,4.406266,6.477372,8.444825,5.930947,-1.782879,3.264480
0.200000,7.474505,4.135815,8.226597,8.746126,1.506504,-22.122216,3.322937
0.200000,5.946570,3.835588,9.783750,7.785762,-4.801824,-31.541641,3.343270
0.200000,4.686040,3.579654,11.069998,6.431244,-6.772587,-9.853814,3.336983
0.200000,3.677830,3.389706,12.095945,5.129735,-6.507549,1.325190,3.316238
0.200000,2.913860,3.264346,12.870133,3.870937,-6.293990,1.067794,3.290781
0.200000,2.389759,3.191401,13.399286,2.645768,-6.125845,0.840726,3.268287
0.200000,2.102940,3.156886,13.688174,1.444441,-6.006634,0.596055,3.254206
0.200000,2.018594,3.147533,13.773037,0.424314,-5.100632,4.530010,3.249824
0.200000,2.018594,3.147533,13.773037,0.000000,-2.121572,14.895297,3.249824
0.200000,2.018594,3.147533,13.773037,0.000000,0.000000,10.607862,3.249824
