dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.976367,2.252708,0.122172,1.221719,6.108597,30.542985,2.569330
0.200000,14.605799,2.519400,0.578731,2.282793,5.305370,-4.016136,2.466192
0.200000,14.058844,3.037924,1.332406,3.768376,7.427912,10.612710,2.302002
0.200000,13.457736,3.853072,2.345222,5.064083,6.478534,-4.746890,2.120267
0.200000,12.902260,4.925770,3.553210,6.039940,4.879286,-7.996239,1.995422
0.200000,12.364674,6.154004,4.893940,6.703651,3.318556,-7.803649,1.999005
0.200000,11.678787,7.356628,6.278406,6.922329,1.093393,-11.125817,2.228393
0.200000,10.691518,8.186820,7.568336,6.449649,-2.363403,-17.283978,2.634171
0.200000,9.497710,8.677870,8.859191,6.454275,0.023129,11.932660,2.863530
0.200000,8.404688,8.895626,9.973693,5.572512,-4.408814,-22.159716,3.017198
0.200000,7.476573,8.968742,10.904684,4.654953,-4.587792,-0.894891,3.102283
0.200000,6.750991,8.981217,11.630373,3.628443,-5.132552,-2.723800,3.143012
0.200000,6.248330,8.975998,12.133061,2.513441,-5.575012,-2.212297,3.159400
0.200000,5.980123,8.970488,12.401325,1.341321,-5.860600,-1.427941,3.164457
0.200000,5.905728,8.968749,12.475740,0.372077,-4.846219,5.071902,3.165420
0.200000,5.905728,8.968749,12.475740,0.000000,-1.860384,14.929179,3.165420
0.200000,5.905728,8.968749,12.475740,0.000000,0.000000,9.301918,3.165420
