dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.450211,2.988301,0.122172,1.221719,6.108597,30.542985,2.569330
0.200000,15.152857,3.202299,0.488688,2.443439,6.108597,0.000000,2.466192
0.200000,14.710168,3.622220,1.099547,3.665158,6.108597,0.000000,2.302002
0.200000,14.203937,4.310028,1.954751,4.886878,6.108597,-0.000000,2.120267
0.200000,13.699553,5.286252,3.054299,6.108597,6.108597,0.000000,1.995422
0.200000,13.160671,6.517341,4.398190,7.330316,6.108597,0.000000,1.999005
0.200000,12.371317,7.891443,5.986425,8.552036,6.108597,-0.000000,2.228393
0.200000,11.116702,8.951570,7.649919,8.082903,-2.345664,-42.271307,2.634171
0.200000,9.737892,9.519260,9.144328,6.861184,-6.108597,-18.814664,2.863530
0.200000,8.513253,9.763865,10.394392,5.639464,-6.108597,0.000000,3.017198
0.200000,7.510960,9.843066,11.400113,4.417745,-6.108597,0.000000,3.102283
0.200000,6.749750,9.856216,12.161490,3.196025,-6.108597,-0.000000,3.143012
0.200000,6.232750,9.850860,12.678523,1.974306,-6.108597,0.000000,3.159400
0.200000,5.960119,9.845259,12.951213,0.752587,-6.108597,-0.000000,3.164457
0.200000,5.884881,9.843501,13.026471,0.000000,-3.762933,11.728321,3.165420
0.200000,5.884881,9.843501,13.026471,0.000000,0.000000,18.814664,3.165420
0.200000,5.884881,9.843501,13.026471,0.000000,0.000000,0.000000,3.165420
