dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.969183,3.793952,0.122172,1.221719,6.108597,30.542985,2.569330
0.200000,15.752018,3.950238,0.389727,1.337775,0.580277,-27.641602,2.466192
0.200000,15.423524,4.262165,0.842725,2.264989,4.636074,20.278985,2.302002
0.200000,15.021206,4.810505,1.522825,3.400499,5.677549,5.207376,2.120267
0.200000,14.572782,5.681067,2.502091,4.896332,7.479164,9.008076,1.995422
0.200000,14.032479,6.915282,3.849390,6.736496,9.200818,8.608268,1.999005
0.200000,13.129804,8.477193,5.653382,9.019961,11.417329,11.082557,2.228393
0.200000,11.582381,9.789156,7.682117,10.143671,5.618547,-28.993911,2.634171
0.200000,10.000948,10.440785,9.392541,8.552121,-7.957750,-67.881484,2.863530
0.200000,8.632157,10.714794,10.788489,6.979742,-7.861891,0.479294,3.017198
0.200000,7.548623,10.800661,11.875420,5.434655,-7.725438,0.682266,3.102283
0.200000,6.748390,10.814550,12.675774,4.001769,-7.164431,2.805038,3.143012
0.200000,6.215686,10.809043,13.208506,2.663661,-6.690537,2.369468,3.159400
0.200000,5.938209,10.803344,13.486041,1.387676,-6.379924,1.553062,3.164457
0.200000,5.862048,10.801564,13.562224,0.380911,-5.033824,6.730501,3.165420
0.200000,5.862048,10.801564,13.562224,0.000000,-1.904557,15.646336,3.165420
0.200000,5.862048,10.801564,13.562224,0.000000,0.000000,9.522785,3.165420
