dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.741623,2.427739,0.125000,1.250000,6.250000,31.250000,2.620419
0.200000,14.351647,2.678161,0.588458,2.317288,5.336440,-4.567800,2.519097
0.200000,13.751769,3.204152,1.386280,3.989112,8.359118,15.113387,2.320071
0.200000,13.113390,4.141758,2.520577,5.671487,8.411878,0.263803,2.018766
0.200000,12.720075,5.464924,3.900963,6.901931,6.152218,-11.298302,1.720992
0.200000,12.643714,6.987482,5.425435,7.622359,3.602143,-12.750372,1.547971
0.200000,12.716245,8.622343,7.061904,8.182345,2.799927,-4.011084,1.534809
0.200000,12.627543,10.278542,8.720477,8.292862,0.552589,-11.236690,1.777580
0.200000,11.948784,11.528270,10.142635,7.110792,-5.910350,-32.314696,2.408691
0.200000,10.586206,12.229510,11.675070,7.662173,2.756905,43.336276,2.835111
0.200000,9.048272,12.568602,13.249942,7.874362,1.060945,-8.479797,3.004481
0.200000,7.663312,12.685932,14.639864,6.949605,-4.623785,-28.423654,3.101059
0.200000,6.476138,12.705138,15.827193,5.936648,-5.064785,-2.204998,3.143970
0.200000,5.510189,12.696182,16.793184,4.829952,-5.533481,-2.343479,3.154226
0.200000,4.780042,12.688435,17.523372,3.650940,-5.895062,-1.807906,3.148260
0.200000,4.296136,12.687482,18.007278,2.419534,-6.157028,-1.309831,3.138043
0.200000,4.065402,12.689041,18.238018,1.153696,-6.329190,-0.860806,3.131448
0.200000,4.014004,12.689603,18.289419,0.257007,-4.483447,9.228711,3.129828
0.200000,4.014004,12.689603,18.289419,0.000000,-1.285034,15.992069,3.129828
