dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.177284,3.186570,0.125000,1.250000,6.250000,31.250000,2.620419
0.200000,14.861829,3.389034,0.500000,2.500000,6.250000,0.000000,2.519097
0.200000,14.392429,3.800122,1.125000,3.750000,6.250000,0.000000,2.320071
0.200000,13.902052,4.520752,2.000000,5.000000,6.250000,0.000000,2.018766
0.200000,13.585224,5.595852,3.125000,6.250000,6.250000,0.000000,1.720992
0.200000,13.518486,6.967511,4.500000,7.500000,6.250000,0.000000,1.547971
0.200000,13.590679,8.590861,6.125000,8.750000,6.250000,0.000000,1.534809
0.200000,13.483902,10.458191,8.000000,10.000000,6.250000,0.000000,1.777580
0.200000,12.534184,12.178602,10.000000,10.000000,0.000000,-31.250000,2.408691
0.200000,10.850199,13.063736,11.924984,9.249845,-3.750777,-18.753887,2.835111
0.200000,9.167869,13.435390,13.649953,7.999845,-6.250000,-12.496113,3.004481
0.200000,7.698770,13.560213,15.124922,6.749845,-6.250000,-0.000000,3.101059
0.200000,6.474058,13.580136,16.349891,5.499845,-6.250000,0.000000,3.143970
0.200000,5.499135,13.571112,17.324860,4.249845,-6.250000,0.000000,3.154226
0.200000,4.774208,13.563415,18.049829,2.999845,-6.250000,0.000000,3.148260
0.200000,4.299242,13.562476,18.524798,1.749845,-6.250000,0.000000,3.138043
0.200000,4.074279,13.563996,18.749767,0.499845,-6.250000,0.000000,3.131448
0.200000,4.024297,13.564543,18.799751,0.000000,-2.499223,18.753887,3.129828
0.200000,4.024297,13.564543,18.799751,0.000000,0.000000,12.496113,3.129828
