dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.654437,4.017672,0.125000,1.250000,6.250000,31.250000,2.620419
0.200000,15.420600,4.167610,0.402779,1.388894,0.694471,-27.777645,2.519097
0.200000,15.094105,4.452852,0.836325,2.167729,3.894176,15.998528,2.320071
0.200000,14.765827,4.935842,1.420317,2.919959,3.761150,-0.665134,2.018766
0.200000,14.532770,5.739249,2.256844,4.182636,6.313384,12.761172,1.720992
0.200000,14.476571,6.945639,3.464542,6.038490,9.279271,14.829436,1.547971
0.200000,14.548393,8.556380,5.076884,8.061708,10.116089,4.184088,1.534809
0.200000,14.421821,10.654950,7.179267,10.511919,12.251053,10.674822,1.777580
0.200000,13.175338,12.890872,9.739163,12.799477,11.437792,-4.066305,2.408691
0.200000,11.139334,13.977414,12.046950,11.538937,-6.302700,-88.702461,2.835111
0.200000,9.298856,14.384731,13.931961,9.425056,-10.569409,-21.333546,3.004481
0.200000,7.737604,14.517761,15.498871,7.834548,-7.952540,13.084345,3.101059
0.200000,6.471779,14.538468,16.764865,6.329970,-7.522886,2.148273,3.143970
0.200000,5.487028,14.529371,17.749658,4.923965,-7.030028,2.464286,3.154226
0.200000,4.767818,14.521729,18.468908,3.596252,-6.638564,1.957324,3.148260
0.200000,4.302644,14.520805,18.934084,2.325877,-6.351875,1.433443,3.138043
0.200000,4.084001,14.522281,19.152732,1.093241,-6.163182,0.943465,3.131448
0.200000,4.035571,14.522812,19.201165,0.242163,-4.255389,9.538966,3.129828
0.200000,4.035571,14.522812,19.201165,0.000000,-1.210815,15.222868,3.129828
