dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.880515,1.965161,0.125000,1.250000,6.250000,31.250000,2.591784
0.200000,14.521674,2.198887,0.553246,2.141231,4.456156,-8.969220,2.536165
0.200000,13.949288,2.638960,1.275251,3.610022,7.343955,14.438995,2.434618
0.200000,13.224655,3.361848,2.298804,5.117765,7.538714,0.973797,2.278518
0.200000,12.475052,4.445897,3.616781,6.589887,7.360612,-0.890514,2.074755
0.200000,11.870247,5.897400,5.189248,7.862333,6.362229,-4.991913,1.865693
0.200000,11.502545,7.632675,6.963053,8.869026,5.033462,-6.643833,1.708500
0.200000,11.321054,9.567007,8.905880,9.714137,4.225557,-4.039526,1.637281
0.200000,11.243087,11.660870,11.001195,10.476573,3.812177,-2.066903,1.528198
0.200000,11.364727,13.639920,12.983980,9.913924,-2.813244,-33.127102,1.545990
0.200000,11.147944,15.161193,14.520620,7.683203,-11.153605,-41.701806,2.015460
0.200000,10.269444,15.928386,15.686960,5.831699,-9.257518,9.480433,2.748508
0.200000,8.921220,16.230210,17.068556,6.907977,5.381389,73.194537,3.039582
0.200000,7.565337,16.321908,18.427536,6.794900,-0.565387,-29.733880,3.103224
0.200000,6.423401,16.347009,19.569748,5.711060,-5.419200,-24.269065,3.132388
0.200000,5.510929,16.350730,20.482227,4.562399,-5.743306,-1.620528,3.140442
0.200000,4.838460,16.351913,21.154697,3.362351,-6.000241,-1.284676,3.138073
0.200000,4.413451,16.354381,21.579714,2.125081,-6.186347,-0.930533,3.133048
0.200000,4.240563,16.356095,21.752610,0.864481,-6.303002,-0.583271,3.130236
0.200000,4.217574,16.356361,21.775600,0.114953,-3.747638,12.776817,3.129828
0.200000,4.217574,16.356361,21.775600,0.000000,-0.574766,15.864362,3.129828
