dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.882022,3.599361,0.125000,1.250000,6.250000,31.250000,2.591784
0.200000,15.612478,3.774886,0.446657,1.608283,1.791415,-22.292925,2.536165
0.200000,15.194235,4.096262,0.974112,2.637278,5.144975,16.767799,2.434618
0.200000,14.681027,4.607884,1.698778,3.623328,4.930250,-1.073625,2.278518
0.200000,14.153437,5.371449,2.626885,4.640534,5.086030,0.778900,2.074755
0.200000,13.704178,6.454462,3.799382,5.862488,6.109768,5.118693,1.865693
0.200000,13.401072,7.895774,5.272221,7.364194,7.508531,6.993815,1.708500
0.200000,13.233489,9.694343,7.078580,9.031796,8.338008,4.147385,1.637281
0.200000,13.158018,11.579248,8.964995,9.432076,2.001403,-31.683030,1.528198
0.200000,13.280808,13.592381,10.981869,10.084371,3.261477,6.300371,1.545990
0.200000,12.878229,15.985656,13.408768,12.134494,10.250615,34.945691,2.015460
0.200000,11.003605,17.698875,15.948322,12.697768,2.816366,-37.171245,2.748508
0.200000,9.116401,18.136916,17.885696,9.686870,-15.054487,-89.354263,3.039582
0.200000,7.638858,18.237167,19.366636,7.404700,-11.410849,18.218190,3.103224
0.200000,6.441044,18.263598,20.564742,5.990530,-7.070852,21.699983,3.132388
0.200000,5.513135,18.267399,21.492659,4.639584,-6.754732,1.580599,3.140442
0.200000,4.845205,18.268571,22.160590,3.339656,-6.499638,1.275470,3.138073
0.200000,4.429827,18.270981,22.575974,2.076923,-6.313666,0.929862,3.133048
0.200000,4.262330,18.272641,22.743480,0.837527,-6.196979,0.583435,3.130236
0.200000,4.240121,18.272898,22.765690,0.111051,-3.632380,12.822998,3.129828
0.200000,4.240121,18.272898,22.765690,0.000000,-0.555255,15.385624,3.129828
