dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.031993,2.265741,0.125000,1.250000,6.250000,31.250000,2.547407
0.200000,14.708285,2.489431,0.518477,1.967385,3.586924,-13.315382,2.526282
0.200000,14.178448,2.878757,1.175974,3.287486,6.600506,15.067912,2.489099
0.200000,13.459981,3.460073,2.100162,4.620937,6.667255,0.333745,2.432745
0.200000,12.584373,4.272807,3.294827,5.973330,6.761963,0.473541,2.352763
0.200000,11.606116,5.369302,4.764279,7.347257,6.869639,0.538380,2.243989
0.200000,10.614662,6.807608,6.511192,8.734566,6.936541,0.334510,2.103002
0.200000,9.740298,8.629789,8.532294,10.105511,6.854726,-0.409078,1.933244
0.200000,9.157824,10.698486,10.681430,10.745681,3.200849,-18.269383,1.759709
0.200000,8.928564,12.829557,12.824797,10.716835,-0.144228,-16.725385,1.579922
0.200000,9.109688,14.960333,14.963257,10.692300,-0.122675,0.107764,1.419006
0.200000,9.443338,16.938591,16.969454,10.030985,-3.306575,-15.919501,1.411888
0.200000,9.633866,18.801378,18.841960,9.362528,-3.342284,-0.178544,1.555743
0.200000,9.411882,20.494961,20.550030,8.540347,-4.110904,-3.843100,1.880656
0.200000,8.604997,21.921382,22.188853,8.194115,-1.731160,11.898718,2.280562
0.200000,7.291328,23.042041,23.915584,8.633655,2.197699,19.644298,2.573822
0.200000,5.810083,23.720482,25.544808,8.146119,-2.437679,-23.176891,2.844939
0.200000,4.378073,24.009697,27.005731,7.304619,-4.207500,-8.849105,3.026184
0.200000,3.090735,24.092282,28.295716,6.449922,-4.273489,-0.329947,3.118845
0.200000,1.999801,24.094738,29.386652,5.454682,-4.976198,-3.513541,3.153742
0.200000,1.130970,24.081380,30.255585,4.344666,-5.550079,-2.869409,3.156705
0.200000,0.500155,24.074654,30.886436,3.154254,-5.952060,-2.009902,3.146045
0.200000,0.118546,24.075034,31.268046,1.908050,-6.231022,-1.394810,3.134519
0.200000,-0.008816,24.076229,31.395413,0.636836,-6.356070,-0.625239,3.129828
0.200000,-0.008816,24.076229,31.395413,0.000000,-3.184179,15.859455,3.129828
