dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,16.011703,3.715799,0.125000,1.250000,6.250000,31.250000,2.547407
0.200000,15.718407,3.918471,0.481509,1.782544,2.662718,-17.936411,2.526282
0.200000,15.240995,4.269259,1.073940,2.962155,5.898055,16.176688,2.489099
0.200000,14.599160,4.788520,1.899521,4.127906,5.828757,-0.346491,2.432745
0.200000,13.826049,5.505990,2.954255,5.273669,5.728814,-0.499717,2.352763
0.200000,12.974328,6.460402,4.233446,6.395958,5.611447,-0.586836,2.243989
0.200000,12.122619,7.695620,5.733836,7.501950,5.529960,-0.407435,2.103002
0.200000,11.376604,9.250276,7.458219,8.621911,5.599806,0.349231,1.933244
0.200000,10.876689,11.027121,9.304050,9.229157,3.036230,-12.817879,1.759709
0.200000,10.678491,12.845527,11.133226,9.145880,-0.416388,-17.263089,1.579922
0.200000,10.839566,14.695719,12.990416,9.285950,0.700349,5.583685,1.419006
0.200000,11.171289,16.661670,14.984157,9.968704,3.413772,13.567111,1.411888
0.200000,11.383667,18.775035,17.108166,10.620049,3.256725,-0.785235,1.555743
0.200000,11.078540,21.028581,19.382275,11.370544,3.752475,2.478754,1.880656
0.200000,9.932398,23.061780,21.716272,11.669985,1.497206,-11.276348,2.280562
0.200000,8.232398,24.517469,23.954358,11.190429,-2.397778,-19.474919,2.573822
0.200000,6.321645,25.394043,26.056585,10.511135,-3.396472,-4.993472,2.844939
0.200000,4.579590,25.748056,27.834247,8.888308,-8.114134,-23.588308,3.026184
0.200000,3.130539,25.841829,29.286329,7.260413,-8.139478,-0.126721,3.118845
0.200000,1.978541,25.844609,30.438330,5.760006,-7.502031,3.187235,3.153742
0.200000,1.104525,25.831180,31.312449,4.370594,-6.947061,2.774851,3.156705
0.200000,0.492364,25.824637,31.924646,3.060982,-6.548062,1.994996,3.146045
0.200000,0.130925,25.824990,32.286085,1.807195,-6.268933,1.395643,3.134519
0.200000,0.011771,25.826108,32.405244,0.595796,-6.056997,1.059678,3.129828
0.200000,0.011771,25.826108,32.405244,0.000000,-2.978979,15.390093,3.129828
