dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.111759,14.458555,0.128077,1.280775,6.403875,32.019374,0.003916
0.200000,6.483968,14.462368,0.500305,1.861139,2.901822,-17.510262,0.016440
0.200000,7.105800,14.478660,1.122351,3.110227,6.245436,16.718066,0.035570
0.200000,7.979241,14.520155,1.996777,4.372133,6.309535,0.320495,0.058627
0.200000,9.106868,14.600166,3.127239,5.652309,6.400877,0.456711,0.081803
0.200000,10.492202,14.727867,4.518446,6.956035,6.518632,0.588777,0.100195
0.200000,12.013378,14.888317,6.048061,7.648074,3.460191,-15.292208,0.107811
0.200000,13.418420,15.038540,7.461111,7.065252,-2.914110,-31.871504,0.103403
0.200000,14.576714,15.152589,8.625007,5.819476,-6.228876,-16.573828,0.091684
0.200000,15.483522,15.229819,9.535097,4.550452,-6.345123,-0.581234,0.077513
0.200000,16.134519,15.276302,10.187751,3.263273,-6.435896,-0.453867,0.064681
0.200000,16.526424,15.299985,10.580371,1.963099,-6.500870,-0.324871,0.055901
0.200000,16.657272,15.307105,10.711413,0.655207,-6.539459,-0.192943,0.052795
0.200000,16.657272,15.307105,10.711413,0.000000,-3.276035,16.317118,0.052795
0.200000,16.657272,15.307105,10.711413,0.000000,0.000000,16.380175,0.052795
