dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.115512,13.500227,0.128077,1.280775,6.403875,32.019374,0.003916
0.200000,6.499722,13.504162,0.512310,2.561550,6.403875,0.000000,0.016440
0.200000,7.139880,13.520931,1.152697,3.842325,6.403875,-0.000000,0.035570
0.200000,8.035393,13.563467,2.049240,5.123100,6.403875,0.000000,0.058627
0.200000,9.185175,13.645035,3.201937,6.403875,6.403875,0.000000,0.081803
0.200000,10.588061,13.774339,4.610790,7.684650,6.403875,-0.000000,0.100195
0.200000,12.116497,13.935546,6.147707,7.684522,-0.000637,-32.022561,0.107811
0.200000,13.517338,14.085323,7.556534,6.403747,-6.403875,-32.016187,0.103403
0.200000,14.664456,14.198279,8.709206,5.122972,-6.403875,0.000000,0.091684
0.200000,15.557731,14.274362,9.605723,3.842197,-6.403875,0.000000,0.077513
0.200000,16.196462,14.319971,10.246085,2.561422,-6.403875,-0.000000,0.064681
0.200000,16.579968,14.343147,10.630292,1.280647,-6.403875,-0.000000,0.055901
0.200000,16.707844,14.350105,10.758357,0.000000,-6.403237,0.003187,0.052795
0.200000,16.707844,14.350105,10.758357,0.000000,0.000000,32.016187,0.052795
0.200000,16.707844,14.350105,10.758357,0.000000,0.000000,0.000000,0.052795
