dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.119266,12.541899,0.128077,1.280775,6.403875,32.019374,0.003916
0.200000,6.515477,12.545957,0.524310,1.981160,3.501926,-14.509743,0.016440
0.200000,7.173961,12.563202,1.183020,3.293550,6.561951,15.300123,0.035570
0.200000,8.091545,12.606778,2.101638,4.593092,6.497710,-0.321204,0.058627
0.200000,9.263483,12.689905,3.276520,5.874407,6.406574,-0.455679,0.081803
0.200000,10.683921,12.820810,4.702977,7.132289,6.289411,-0.585815,0.100195
0.200000,12.219616,12.982775,6.247189,7.721060,2.943851,-16.727801,0.107811
0.200000,13.616256,13.132107,7.651790,7.023006,-3.490270,-32.170607,0.103403
0.200000,14.752197,13.243969,8.793226,5.707177,-6.579143,-15.444365,0.091684
0.200000,15.631940,13.318904,9.676154,4.414643,-6.462671,0.582360,0.077513
0.200000,16.258405,13.363640,10.304215,3.140303,-6.371698,0.454867,0.064681
0.200000,16.633513,13.386309,10.680007,1.878959,-6.306721,0.324882,0.055901
0.200000,16.758416,13.393105,10.805095,0.625440,-6.267594,0.195636,0.052795
0.200000,16.758416,13.393105,10.805095,0.000000,-3.127200,15.701973,0.052795
0.200000,16.758416,13.393105,10.805095,0.000000,0.000000,15.635999,0.052795
