dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.118939,14.374766,0.128077,1.280775,6.403875,32.019374,6.279269
0.200000,6.514107,14.370719,0.523266,1.975942,3.475834,-14.640203,6.266745
0.200000,7.170998,14.353516,1.180382,3.285580,6.548189,15.361774,6.247615
0.200000,8.086663,14.310030,2.097079,4.583485,6.489528,-0.293303,6.224558
0.200000,9.256673,14.227039,3.270029,5.864751,6.406327,-0.416009,6.201382
0.200000,10.675585,14.096273,4.694954,7.124626,6.299378,-0.534745,6.182990
0.200000,12.210649,13.934373,6.238531,7.717886,2.966301,-16.665383,6.175374
0.200000,13.607654,13.785003,7.643500,7.024842,-3.465219,-32.157602,6.179783
0.200000,14.744567,13.673046,8.785912,5.712060,-6.563914,-15.493473,6.191501
0.200000,15.625487,13.598011,9.670021,4.420548,-6.457560,0.531768,6.205672
0.200000,16.253019,13.553199,10.299151,3.145650,-6.374489,0.415357,6.218504
0.200000,16.628856,13.530486,10.675675,1.882617,-6.315163,0.296631,6.227284
0.200000,16.754018,13.523676,10.801022,0.626734,-6.279415,0.178741,6.230390
0.200000,16.754018,13.523676,10.801022,0.000000,-3.133671,15.728719,6.230390
0.200000,16.754018,13.523676,10.801022,0.000000,0.000000,15.668355,6.230390
