dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.115512,13.499773,0.128077,1.280775,6.403875,32.019374,6.279269
0.200000,6.499722,13.495838,0.512310,2.561550,6.403875,0.000000,6.266745
0.200000,7.139880,13.479069,1.152697,3.842325,6.403875,-0.000000,6.247615
0.200000,8.035393,13.436533,2.049240,5.123100,6.403875,0.000000,6.224558
0.200000,9.185175,13.354965,3.201937,6.403875,6.403875,0.000000,6.201382
0.200000,10.588061,13.225661,4.610790,7.684650,6.403875,-0.000000,6.182990
0.200000,12.116497,13.064454,6.147707,7.684522,-0.000637,-32.022561,6.175374
0.200000,13.517338,12.914677,7.556534,6.403747,-6.403875,-32.016187,6.179783
0.200000,14.664456,12.801721,8.709206,5.122972,-6.403875,0.000000,6.191501
0.200000,15.557731,12.725638,9.605723,3.842197,-6.403875,0.000000,6.205672
0.200000,16.196462,12.680029,10.246085,2.561422,-6.403875,-0.000000,6.218504
0.200000,16.579968,12.656853,10.630292,1.280647,-6.403875,-0.000000,6.227284
0.200000,16.707844,12.649895,10.758357,0.000000,-6.403237,0.003187,6.230390
0.200000,16.707844,12.649895,10.758357,0.000000,0.000000,32.016187,6.230390
0.200000,16.707844,12.649895,10.758357,0.000000,0.000000,0.000000,6.230390
