dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.112086,12.624780,0.128077,1.280775,6.403875,32.019374,6.279269
0.200000,6.485338,12.620956,0.501349,1.866358,2.927914,-17.379802,6.266745
0.200000,7.108763,12.604623,1.124989,3.118197,6.259197,16.656415,6.247615
0.200000,7.984124,12.563037,2.001337,4.381741,6.317716,0.292595,6.224558
0.200000,9.113677,12.482891,3.133730,5.661965,6.401125,0.417042,6.201382
0.200000,10.500537,12.355050,4.526469,6.963699,6.508666,0.537707,6.182990
0.200000,12.022345,12.194534,6.056719,7.651247,3.437741,-15.354626,6.175374
0.200000,13.427022,12.044350,7.469402,7.063415,-2.939161,-31.884509,6.179783
0.200000,14.584344,11.930396,8.632321,5.814594,-6.244105,-16.524720,6.191501
0.200000,15.489975,11.853265,9.541230,4.544547,-6.350233,-0.530642,6.205672
0.200000,16.139905,11.806859,10.192815,3.257926,-6.433105,-0.414356,6.218504
0.200000,16.531080,11.783220,10.584703,1.959440,-6.492429,-0.296620,6.227284
0.200000,16.661669,11.776114,10.715486,0.653913,-6.527638,-0.176048,6.230390
0.200000,16.661669,11.776114,10.715486,0.000000,-3.269564,16.290372,6.230390
0.200000,16.661669,11.776114,10.715486,0.000000,0.000000,16.347819,6.230390
