dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.838756,22.050550,0.125000,1.250000,6.250000,31.250000,4.650276
0.200000,19.797414,21.614520,0.562986,2.189928,4.699639,-7.751807,4.584469
0.200000,19.657790,20.884055,1.306675,3.718446,7.642589,14.714754,4.460118
0.200000,19.294077,19.886244,2.368707,5.310162,7.958582,1.579965,4.263153
0.200000,18.552254,18.745415,3.729513,6.804030,7.469339,-2.446219,4.013365
0.200000,17.396955,17.662805,5.312789,7.916379,5.561748,-9.537951,3.792645
0.200000,15.948908,16.709255,7.046598,8.669047,3.763338,-8.992053,3.678091
0.200000,14.371180,15.763586,8.886032,9.197170,2.640614,-5.613618,3.715058
0.200000,13.075417,14.687713,10.570225,8.420962,-3.881039,-32.608268,4.021839
0.200000,12.297835,13.243510,12.210455,8.201153,-1.099044,13.909976,4.387462
0.200000,11.910821,11.466517,14.029104,9.093243,4.460447,27.797458,4.573943
0.200000,11.679926,9.496834,16.012274,9.915850,4.113034,-1.737065,4.591446
0.200000,11.297970,7.393939,18.149576,10.686510,3.853303,-1.298657,4.446171
0.200000,10.357812,5.286957,20.456797,11.536106,4.247977,1.973372,4.114317
0.200000,8.662912,3.640893,22.819467,11.813349,1.386217,-14.308802,3.719505
0.200000,6.906918,2.649967,24.835764,10.081486,-8.659317,-50.227669,3.592224
0.200000,5.246832,1.964119,26.631946,8.980912,-5.502869,15.782241,3.473626
0.200000,3.774256,1.540342,28.164287,7.661703,-6.596044,-5.465878,3.369854
0.200000,2.531177,1.306979,29.429081,6.323968,-6.688675,-0.463152,3.284712
0.200000,1.541004,1.197419,30.425296,4.981078,-6.714449,-0.128873,3.219168
0.200000,0.813898,1.157993,31.153471,3.640872,-6.701032,0.067084,3.172567
0.200000,0.352777,1.150376,31.614654,2.305917,-6.674775,0.131287,3.143748
0.200000,0.157686,1.151129,31.809747,0.975464,-6.652264,0.112554,3.131734
0.200000,0.126571,1.151465,31.840864,0.155586,-4.099388,12.764380,3.129828
0.200000,0.126571,1.151465,31.840864,0.000000,-0.777932,16.607281,3.129828
