dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.882269,22.110036,0.125000,1.250000,6.250000,31.250000,4.650276
0.200000,18.846909,21.736776,0.500000,2.500000,6.250000,0.000000,4.584469
0.200000,18.729788,21.123258,1.125000,3.750000,6.250000,0.000000,4.460118
0.200000,18.430829,20.302428,2.000000,5.000000,6.250000,0.000000,4.263153
0.200000,17.818677,19.362076,3.125000,6.250000,6.250000,0.000000,4.013365
0.200000,16.816181,18.425109,4.500000,7.500000,6.250000,0.000000,3.792645
0.200000,15.459075,17.532948,6.125000,8.750000,6.250000,0.000000,3.678091
0.200000,13.851238,16.568613,8.000000,10.000000,6.250000,0.000000,3.715058
0.200000,12.336641,15.298135,10.000000,10.000000,0.000000,-31.250000,4.021839
0.200000,11.389646,13.549448,12.000000,10.000000,0.000000,0.000000,4.387462
0.200000,10.961656,11.598772,14.000000,10.000000,0.000000,0.000000,4.573943
0.200000,10.728592,9.612456,16.000000,10.000000,0.000000,0.000000,4.591446
0.200000,10.373394,7.646062,18.000000,10.000000,0.000000,0.000000,4.446171
0.200000,9.565822,5.826547,20.000000,10.000000,0.000000,0.000000,4.114317
0.200000,8.139397,4.443599,22.000000,10.000000,0.000000,0.000000,3.719505
0.200000,6.489531,3.512633,23.904291,9.042905,-4.785474,-23.927370,3.592224
0.200000,4.934447,2.870111,25.587872,7.792905,-6.250000,-7.322630,3.473626
0.200000,3.557399,2.473819,27.021453,6.542905,-6.250000,0.000000,3.369854
0.200000,2.394489,2.255515,28.205034,5.292905,-6.250000,0.000000,3.284712
0.200000,1.466735,2.152872,29.138615,4.042905,-6.250000,0.000000,3.219168
0.200000,0.784219,2.115868,29.822196,2.792905,-6.250000,0.000000,3.172567
0.200000,0.350712,2.108709,30.255777,1.542905,-6.250000,0.000000,3.143748
0.200000,0.167133,2.109417,30.439358,0.292905,-6.250000,0.000000,3.131734
0.200000,0.137844,2.109734,30.468648,0.000000,-1.464526,23.927370,3.129828
0.200000,0.137844,2.109734,30.468648,0.000000,0.000000,7.322630,3.129828
