dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.925783,22.169522,0.125000,1.250000,6.250000,31.250000,4.650276
0.200000,17.896405,21.859032,0.436877,1.559387,1.546933,-23.515336,4.584469
0.200000,17.801786,21.362462,0.942381,2.527519,4.840661,16.468641,4.460118
0.200000,17.567581,20.718612,1.627506,3.425622,4.490519,-1.750713,4.263153
0.200000,17.085100,19.978737,2.510796,4.416454,4.954159,2.318201,4.013365
0.200000,16.235407,19.187413,3.671904,5.805536,6.945411,9.956260,3.792645
0.200000,14.969242,18.356640,5.186288,7.571922,8.831928,9.432585,3.678091
0.200000,13.331297,17.373639,7.096564,9.551379,9.897285,5.326785,3.715058
0.200000,11.597864,15.908557,9.366201,11.348188,8.984048,-4.566183,4.021839
0.200000,10.481457,13.855386,11.703267,11.685327,1.685695,-36.491764,4.387462
0.200000,10.012491,11.731026,13.878775,10.877539,-4.038942,-28.623184,4.573943
0.200000,9.777257,9.728078,15.895489,10.083573,-3.969829,0.345563,4.591446
0.200000,9.448819,7.898186,17.754623,9.295666,-3.939539,0.151452,4.446171
0.200000,8.773832,6.366138,19.428773,8.370752,-4.624567,-3.425141,4.114317
0.200000,7.615881,5.246306,21.039634,8.054306,-1.582233,15.211668,3.719505
0.200000,6.072144,4.375300,22.812139,8.862527,4.041106,28.116695,3.592224
0.200000,4.622062,3.776103,24.381143,7.845019,-5.087538,-45.643218,3.473626
0.200000,3.340542,3.407295,25.714677,6.667668,-5.886755,-3.996085,3.369854
0.200000,2.257800,3.204052,26.816330,5.508264,-5.797019,0.448680,3.284712
0.200000,1.392467,3.108325,27.686942,4.353060,-5.776019,0.105000,3.219168
0.200000,0.754539,3.073743,28.325806,3.194320,-5.793705,-0.088429,3.172567
0.200000,0.348646,3.067041,28.731754,2.029742,-5.822887,-0.145912,3.143748
0.200000,0.176581,3.067706,28.903821,0.860335,-5.847034,-0.120734,3.131734
0.200000,0.149118,3.068003,28.931285,0.137320,-3.615074,11.159800,3.129828
0.200000,0.149118,3.068003,28.931285,0.000000,-0.686602,14.642358,3.129828
