dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.975687,22.393845,0.125000,1.250000,6.250000,31.250000,4.652486
0.200000,19.930031,21.940696,0.580443,2.277216,5.136081,-5.569596,4.568405
0.200000,19.735790,21.145712,1.398813,4.091849,9.073166,19.685426,4.365155
0.200000,19.041098,20.048813,2.697191,6.491892,12.000211,14.635225,3.911490
0.200000,17.626474,19.295064,4.300094,8.014512,7.613101,-21.935550,3.393400
0.200000,16.104020,19.085180,5.836948,7.684269,-1.651213,-46.321569,3.222408
0.200000,14.770163,18.869819,7.188078,6.755654,-4.643075,-14.959310,3.503870
0.200000,14.032557,18.070698,8.275578,5.437499,-6.590774,-9.738497,4.284168
0.200000,13.721400,16.474263,9.902054,8.132379,13.474399,100.325865,4.663620
0.200000,13.636167,14.425867,11.952223,10.250842,10.592317,-14.410409,4.610752
0.200000,12.879405,12.111041,14.387609,12.176930,9.630439,-4.809391,4.130803
0.200000,11.302375,10.522699,16.625879,11.191352,-4.927888,-72.791633,3.772318
0.200000,9.586486,9.593106,18.577396,9.757584,-7.168841,-11.204764,3.508089
0.200000,8.021873,9.156474,20.201792,8.121979,-8.178026,-5.045925,3.328023
0.200000,6.730451,8.985669,21.504460,6.513340,-8.043194,0.674157,3.224497
0.200000,5.726044,8.931409,22.510332,5.029360,-7.419899,3.116478,3.170281
0.200000,4.997353,8.920587,23.239103,3.643854,-6.927535,2.461822,3.144453
0.200000,4.533044,8.921919,23.703414,2.321558,-6.611480,1.580275,3.133732
0.200000,4.325798,8.923911,23.910669,1.036277,-6.426404,0.925378,3.130375
0.200000,4.285757,8.924371,23.950713,0.200217,-4.180298,11.230530,3.129828
0.200000,4.285757,8.924371,23.950713,0.000000,-1.001086,15.896060,3.129828
