dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.019071,22.451218,0.125000,1.250000,6.250000,31.250000,4.652486
0.200000,18.981612,22.078204,0.500000,2.500000,6.250000,0.000000,4.568405
0.200000,18.834651,21.471832,1.125000,3.750000,6.250000,0.000000,4.365155
0.200000,18.374037,20.736880,2.000000,5.000000,6.250000,0.000000,3.911490
0.200000,17.387700,20.223176,3.125000,6.250000,6.250000,0.000000,3.393400
0.200000,16.026656,20.040387,4.500000,7.500000,6.250000,0.000000,3.222408
0.200000,14.430524,19.765950,6.125000,8.750000,6.250000,0.000000,3.503870
0.200000,13.160754,18.468649,8.000000,10.000000,6.250000,0.000000,4.284168
0.200000,12.764205,16.520981,10.000000,10.000000,0.000000,-31.250000,4.663620
0.200000,12.682777,14.523101,12.000000,10.000000,0.000000,0.000000,4.610752
0.200000,12.078628,12.637503,14.000000,10.000000,0.000000,0.000000,4.130803
0.200000,10.737215,11.296650,15.914519,9.145194,-4.274028,-21.370139,3.772318
0.200000,9.243069,10.487797,17.618558,7.895194,-6.250000,-9.879861,3.508089
0.200000,7.844243,10.098203,19.072597,6.645194,-6.250000,0.000000,3.328023
0.200000,6.651092,9.940712,20.276636,5.395194,-6.250000,0.000000,3.224497
0.200000,5.698554,9.889350,21.230675,4.145194,-6.250000,0.000000,3.170281
0.200000,4.994612,9.878918,21.934714,2.895194,-6.250000,0.000000,3.144453
0.200000,4.540577,9.880224,22.388753,1.645194,-6.250000,0.000000,3.133732
0.200000,4.336548,9.882186,22.592792,0.395194,-6.250000,0.000000,3.130375
0.200000,4.297031,9.882640,22.632311,0.000000,-1.975972,21.370139,3.129828
0.200000,4.297031,9.882640,22.632311,0.000000,0.000000,9.879861,3.129828
