dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.145640,22.503601,0.125000,1.250000,6.250000,31.250000,4.652486
0.200000,18.115667,22.203755,0.426341,1.506703,1.283514,-24.832431,4.568405
0.200000,18.011873,21.769593,0.872737,2.231983,3.626399,11.714426,4.365155
0.200000,17.764983,21.365114,1.346613,2.369379,0.686981,-14.697090,3.911490
0.200000,17.169690,21.070582,2.010784,3.320854,4.757378,20.351984,3.393400
0.200000,15.956020,20.912532,3.234701,6.119587,13.993665,46.181439,3.222408
0.200000,14.120420,20.584156,5.099442,9.323706,16.020593,10.134637,3.503870
0.200000,12.364762,18.831995,7.579846,12.402017,15.391556,-3.145186,4.284168
0.200000,11.890245,16.563637,9.897304,11.587292,-4.073625,-97.325902,4.663620
0.200000,11.812293,14.611880,11.850618,9.766568,-9.103621,-25.149979,4.610752
0.200000,11.347484,13.118184,13.414962,7.821723,-9.724223,-3.103009,4.130803
0.200000,10.221201,12.003300,14.999727,7.923824,0.510504,51.173634,3.772318
0.200000,8.929516,11.304687,16.468234,7.342534,-2.906452,-17.084780,3.508089
0.200000,7.682060,10.958041,17.762957,6.473615,-4.344592,-7.190699,3.328023
0.200000,6.578634,10.812707,18.875913,5.564782,-4.544168,-0.997881,3.224497
0.200000,5.673455,10.763990,19.782403,4.532447,-5.161675,-3.087537,3.170281
0.200000,4.992109,10.753914,20.463823,3.407101,-5.626730,-2.325274,3.144453
0.200000,4.547456,10.755197,20.908478,2.223277,-5.919118,-1.461937,3.133732
0.200000,4.346363,10.757131,21.109580,1.005510,-6.088836,-0.848593,3.130375
0.200000,4.307324,10.757580,21.148621,0.195205,-4.051523,10.186567,3.129828
0.200000,4.307324,10.757580,21.148621,0.000000,-0.976027,15.377480,3.129828
