dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.912167,22.344239,0.125000,1.250000,6.250000,31.250000,4.677715
0.200000,19.867105,21.859141,0.612186,2.435932,5.929661,-1.601696,4.560358
0.200000,19.657755,21.061553,1.436791,4.123024,8.435462,12.529004,4.350485
0.200000,19.124712,20.077287,2.556127,5.596681,7.368281,-5.335905,4.092240
0.200000,18.265772,19.105508,3.853098,6.484852,4.440856,-14.637122,3.910899
0.200000,17.265544,18.169673,5.222859,6.848805,1.819765,-13.105454,3.916309
0.200000,16.306717,17.047793,6.698651,7.378963,2.650792,4.155134,4.064597
0.200000,15.118698,15.516772,8.636541,9.689446,11.552413,44.508101,3.998503
0.200000,13.337107,14.020660,10.963001,11.632301,9.714278,-9.190672,3.644746
0.200000,11.200428,13.331195,13.208165,11.225818,-2.032416,-58.733468,3.308831
0.200000,9.457146,13.089885,14.968068,8.799519,-12.131499,-50.495417,3.292430
0.200000,7.935105,12.886838,16.503594,7.677626,-5.609461,32.610189,3.254895
0.200000,6.656469,12.764402,17.788078,6.422422,-6.276024,-3.332814,3.218466
0.200000,5.627696,12.701685,18.818761,5.153416,-6.345030,-0.345029,3.186030
0.200000,4.853376,12.677305,19.593465,3.873518,-6.399485,-0.272277,3.159858
0.200000,4.336238,12.672560,20.110625,2.585801,-6.438585,-0.195499,3.141573
0.200000,4.077609,12.673774,20.369256,1.293155,-6.463233,-0.123238,3.132194
0.200000,4.013024,12.674458,20.433845,0.322947,-4.851040,8.060965,3.129828
0.200000,4.013024,12.674458,20.433845,0.000000,-1.614734,16.181528,3.129828
