dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.880444,24.124748,0.125000,1.250000,6.250000,31.250000,3.145863
0.200000,17.491212,24.120034,0.514261,1.946305,3.481525,-13.842377,3.162166
0.200000,16.834695,24.095162,1.171249,3.284938,6.693164,16.058198,3.198765
0.200000,15.897414,24.008086,2.112565,4.706584,7.108231,2.075332,3.274814
0.200000,14.661775,23.749367,3.374999,6.312169,8.027924,4.598467,3.433394
0.200000,13.168438,23.038021,5.029106,8.270536,9.791835,8.819554,3.760918
0.200000,11.853368,21.485448,7.063778,10.173360,9.514121,-1.388570,4.253308
0.200000,11.304649,19.365039,9.254036,10.951289,3.889647,-28.122368,4.628383
0.200000,11.137178,17.486726,11.139800,9.428819,-7.612351,-57.509991,4.519828
0.200000,10.554269,15.963902,12.770375,8.152878,-6.379707,6.163218,4.122783
0.200000,9.509765,15.040690,14.164401,6.970128,-5.913750,2.329788,3.616783
0.200000,8.234531,14.633594,15.503038,6.693185,-1.384712,22.645191,3.320921
0.200000,7.003021,14.501421,16.741620,6.192912,-2.501364,-5.583262,3.191831
0.200000,5.946572,14.479446,17.798298,5.283390,-4.547613,-10.231245,3.139724
0.200000,5.108321,14.489121,18.636604,4.191530,-5.459298,-4.558427,3.123638
0.200000,4.506111,14.500421,19.238921,3.011581,-5.899745,-2.202233,3.123553
0.200000,4.150071,14.506186,19.595008,1.780436,-6.155728,-1.279915,3.127778
0.200000,4.034591,14.507666,19.710497,0.577447,-6.014944,0.703922,3.129828
0.200000,4.034591,14.507666,19.710497,0.000000,-2.887234,15.638546,3.129828
