dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.909996,22.373678,0.125000,1.250000,6.250000,31.250000,3.171334
0.200000,17.630512,22.350800,0.405418,1.402089,0.760446,-27.447769,3.279272
0.200000,17.209100,22.247011,0.839423,2.170025,3.839681,15.396174,3.496569
0.200000,16.699098,21.953962,1.427624,2.941003,3.854887,0.076028,3.821307
0.200000,16.114290,21.299367,2.305402,4.388893,7.239453,16.922830,4.100584
0.200000,15.434577,20.187475,3.608596,6.515968,10.635373,16.979604,4.182195
0.200000,14.371786,18.698480,5.437975,9.146899,13.154653,12.596398,3.943405
0.200000,12.524195,17.525990,7.626200,10.941123,8.971120,-20.917665,3.557015
0.200000,10.581139,16.873547,9.675870,10.248348,-3.463874,-62.174969,3.379069
0.200000,8.834252,16.567036,11.449444,8.867871,-6.902384,-17.192550,3.257595
0.200000,7.358019,16.451888,12.930160,7.403582,-7.321447,-2.095315,3.185989
0.200000,6.157550,16.422769,14.130983,6.004114,-6.997338,1.620543,3.148832
0.200000,5.225287,16.424305,15.063247,4.661319,-6.713974,1.416822,3.132952
0.200000,4.553131,16.431915,15.735446,3.360997,-6.501610,1.061817,3.128585
0.200000,4.135068,16.437368,16.153544,2.090491,-6.352529,0.745409,3.128906
0.200000,3.967395,16.439435,16.321230,0.838429,-6.260313,0.461076,3.129699
0.200000,3.945821,16.439690,16.342806,0.107880,-3.652744,13.037847,3.129828
0.200000,3.945821,16.439690,16.342806,0.000000,-0.539400,15.566722,3.129828
