dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.883976,23.248291,0.125000,1.250000,6.250000,31.250000,3.171334
0.200000,17.510424,23.217520,0.500000,2.500000,6.250000,0.000000,3.279272
0.200000,16.904978,23.067459,1.125000,3.750000,6.250000,0.000000,3.496569
0.200000,16.149099,22.634496,2.000000,5.000000,6.250000,0.000000,3.821307
0.200000,15.398004,21.801919,3.125000,6.250000,6.250000,0.000000,4.100584
0.200000,14.679707,20.629963,4.500000,7.500000,6.250000,0.000000,4.182195
0.200000,13.742995,19.306960,6.125000,8.750000,6.250000,0.000000,3.943405
0.200000,12.171066,18.326568,8.000000,10.000000,6.250000,0.000000,3.557015
0.200000,10.375295,17.723990,9.896690,8.966896,-5.165522,-57.077611,3.379069
0.200000,8.732978,17.436156,11.565069,7.716896,-6.250000,-5.422389,3.257595
0.200000,7.319185,17.326026,12.983448,6.466896,-6.250000,0.000000,3.185989
0.200000,6.151216,17.297746,14.151827,5.216896,-6.250000,0.000000,3.148832
0.200000,5.232848,17.299272,15.070206,3.966896,-6.250000,-0.000000,3.132952
0.200000,4.564512,17.306841,15.738585,2.716896,-6.250000,0.000000,3.128585
0.200000,4.146168,17.312298,16.156964,1.466896,-6.250000,0.000000,3.128906
0.200000,3.977802,17.314373,16.325343,0.216896,-6.250000,0.000000,3.129699
0.200000,3.956114,17.314629,16.347033,0.000000,-1.084478,25.827611,3.129828
0.200000,3.956114,17.314629,16.347033,0.000000,0.000000,5.422389,3.129828
