dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.997356,22.465532,0.125000,1.250000,6.250000,31.250000,4.696772
0.200000,17.983542,22.145110,0.445720,1.603600,1.767999,-22.410004,4.640178
0.200000,17.918413,21.635397,0.959577,2.569284,4.828422,15.302115,4.524501
0.200000,17.728650,20.996560,1.626002,3.332128,3.814217,-5.071026,4.308215
0.200000,17.302577,20.339700,2.408948,3.914727,2.912997,-4.506097,3.955623
0.200000,16.473808,19.761782,3.419318,5.051849,5.685611,13.863067,3.581388
0.200000,15.137849,19.341115,4.819942,7.003122,9.756362,20.353754,3.350456
0.200000,13.371559,19.064694,6.607730,8.938941,9.679098,-0.386319,3.270127
0.200000,11.417687,18.814040,8.577615,9.849424,4.552412,-25.633427,3.266080
0.200000,9.622288,18.601546,10.385545,9.039649,-4.048876,-43.006440,3.250863
0.200000,8.078478,18.448273,11.936944,7.756999,-6.413250,-11.821871,3.228847
0.200000,6.783508,18.350571,13.235595,6.493252,-6.318730,0.472596,3.203964
0.200000,5.735733,18.297627,14.284707,5.245562,-6.238452,0.401390,3.179555
0.200000,4.933874,18.275547,15.086870,4.010813,-6.173745,0.323538,3.158318
0.200000,4.376745,18.270649,15.644021,2.785754,-6.125295,0.242249,3.142277
0.200000,4.063305,18.271912,15.957463,1.567212,-6.092709,0.162929,3.132795
0.200000,3.967388,18.272898,16.053385,0.479611,-5.438007,3.273513,3.129828
0.200000,3.967388,18.272898,16.053385,0.000000,-2.398054,15.199765,3.129828
