dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.916825,22.111780,0.125000,1.250000,6.250000,31.250000,4.793583
0.200000,19.957159,21.873053,0.367110,1.210550,-0.197251,-32.236255,4.932066
0.200000,20.105419,21.300478,0.958569,2.957293,8.733718,44.654844,4.967025
0.200000,20.240392,20.070266,2.196163,6.187970,16.153382,37.098319,4.580272
0.200000,18.543049,18.631566,4.421209,11.125232,24.686314,42.664662,3.220892
0.200000,16.839597,18.819331,6.134978,8.568845,-12.781935,-187.341247,2.853794
0.200000,15.129767,19.681075,8.049689,9.573556,5.023555,89.027453,2.543088
0.200000,13.643816,20.700239,9.851562,9.009363,-2.820966,-39.222604,2.618717
0.200000,12.003354,21.359838,11.619665,8.840514,-0.844247,9.883591,2.848938
0.200000,10.137708,21.820468,13.541335,9.608352,3.839192,23.417195,2.930108
0.200000,8.154129,22.261680,15.573391,10.160278,2.759629,-5.397813,2.896539
0.200000,6.211359,22.876377,17.611088,10.188484,0.141030,-13.092997,2.757828
0.200000,4.725598,23.424682,19.194794,7.918530,-11.349771,-57.454002,2.858513
0.200000,3.426226,23.724957,20.528410,6.668082,-6.252238,25.487665,2.966596
0.200000,2.318051,23.878414,21.647159,5.593747,-5.371676,4.402807,3.038446
0.200000,1.426162,23.949722,22.541895,4.473678,-5.600347,-1.143354,3.083353
0.200000,0.764256,23.979251,23.204459,3.312819,-5.804293,-1.019730,3.109716
0.200000,0.339906,23.989742,23.628939,2.122399,-5.952099,-0.739029,3.123660
0.200000,0.157176,23.992527,23.811690,0.913755,-6.043221,-0.455610,3.128978
0.200000,0.126571,23.992900,23.842298,0.153041,-3.803572,11.198243,3.129828
0.200000,0.126571,23.992900,23.842298,0.000000,-0.765203,15.191844,3.129828
