dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.961647,22.034054,0.125000,1.250000,6.250000,31.250000,4.793583
0.200000,19.021854,21.664219,0.500000,2.500000,6.250000,0.000000,4.932066
0.200000,19.177986,21.059080,1.125000,3.750000,6.250000,0.000000,4.967025
0.200000,19.290409,20.196510,2.000000,5.000000,6.250000,0.000000,4.580272
0.200000,18.467133,19.586890,3.125000,6.250000,6.250000,0.000000,3.220892
0.200000,17.111613,19.738251,4.500000,7.500000,6.250000,0.000000,2.853794
0.200000,15.669700,20.472831,6.125000,8.750000,6.250000,0.000000,2.543088
0.200000,14.122384,21.530528,8.000000,10.000000,6.250000,0.000000,2.618717
0.200000,12.279829,22.277426,10.000000,10.000000,0.000000,-31.250000,2.848938
0.200000,10.338874,22.757452,12.000000,10.000000,0.000000,0.000000,2.930108
0.200000,8.386630,23.191384,14.000000,10.000000,0.000000,0.000000,2.896539
0.200000,6.570173,23.765004,15.906424,9.064235,-4.678825,-23.394125,2.757828
0.200000,4.993275,24.344875,17.594271,7.814235,-6.250000,-7.855875,2.858513
0.200000,3.593077,24.668655,19.032118,6.564235,-6.250000,0.000000,2.966596
0.200000,2.416725,24.831656,20.219965,5.314235,-6.250000,0.000000,3.038446
0.200000,1.481943,24.906432,21.157812,4.064235,-6.250000,0.000000,3.083353
0.200000,0.794800,24.937099,21.845659,2.814235,-6.250000,0.000000,3.109716
0.200000,0.357091,24.947923,22.283506,1.564235,-6.250000,0.000000,3.123660
0.200000,0.169266,24.950785,22.471353,0.314235,-6.250000,0.000000,3.128978
0.200000,0.137844,24.951168,22.502776,0.000000,-1.571175,23.394125,3.129828
0.200000,0.137844,24.951168,22.502776,0.000000,0.000000,7.855875,3.129828
