dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.895828,24.125167,0.125000,1.250000,6.250000,31.250000,3.138388
0.200000,17.530432,24.128353,0.490410,1.827052,2.885258,-16.823709,3.127431
0.200000,16.920732,24.142326,1.100270,3.049297,6.111227,16.129846,3.110136
0.200000,16.065895,24.178877,1.955888,4.278092,6.143974,0.163733,3.088006
0.200000,14.965048,24.252013,3.059162,5.516368,6.191381,0.237034,3.063208
0.200000,13.617258,24.375314,4.412580,6.767090,6.253611,0.311149,3.038582
0.200000,12.021119,24.558460,6.019192,8.033060,6.329849,0.381194,3.017601
0.200000,10.173868,24.802994,7.882559,9.316834,6.418869,0.445099,3.004322
0.200000,8.195818,25.079783,9.879880,9.986607,3.348866,-15.350018,3.003017
0.200000,6.331353,25.331396,11.761246,9.406829,-2.898890,-31.238780,3.013816
0.200000,4.704619,25.526072,13.399587,8.191706,-6.075617,-15.883634,3.032603
0.200000,3.319523,25.662436,14.791380,6.958964,-6.163707,-0.440447,3.055342
0.200000,2.180498,25.747991,15.933613,5.711166,-6.238992,-0.376425,3.078580
0.200000,1.291534,25.794937,16.823816,4.451015,-6.300755,-0.308815,3.099486
0.200000,0.655629,25.816569,17.460089,3.181366,-6.348244,-0.237449,3.115891
0.200000,0.274691,25.824394,17.841107,1.905091,-6.381378,-0.165667,3.126284
0.200000,0.148138,25.826108,17.967672,0.632824,-6.361333,0.100222,3.129828
0.200000,0.148138,25.826108,17.967672,0.000000,-3.164120,15.986065,3.129828
