dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.808536,25.177844,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,23.157724,24.966262,0.533288,2.041442,3.957212,-11.463942,5.720407
0.200000,23.738498,24.567810,1.237605,3.521583,7.400704,17.217463,5.637429
0.200000,24.544309,23.816493,2.339334,5.508647,9.935319,12.673074,5.398123
0.200000,25.004840,21.888351,4.321712,9.911889,22.016209,60.404449,4.411805
0.200000,23.752689,20.382472,6.280169,9.792286,-0.598014,-113.071117,3.766123
0.200000,22.363228,19.476918,7.938671,8.292509,-7.498885,-34.504353,3.730928
0.200000,20.522053,18.440669,10.051427,10.563780,11.356358,94.276218,3.463659
0.200000,18.387810,18.015153,12.227675,10.881241,1.587301,-48.845288,3.276099
0.200000,16.635771,17.652533,14.016847,8.945858,-9.676913,-56.321070,3.492372
0.200000,15.331245,16.783259,15.584465,7.838091,-5.538833,20.690399,3.912273
0.200000,14.282521,15.414731,17.308615,8.620746,3.913275,47.260543,4.194062
0.200000,13.556268,13.753473,19.121684,9.065347,2.223003,-8.451360,4.386193
0.200000,13.035947,11.907835,21.039264,9.587901,2.612769,1.948828,4.471581
0.200000,12.562077,9.955053,23.048719,10.047275,2.296869,-1.579498,4.461694
0.200000,11.949007,7.944856,25.150325,10.508031,2.303781,0.034557,4.354608
0.200000,10.977066,5.969242,27.352079,11.008769,2.503690,0.999545,4.139612
0.200000,9.486812,4.255996,29.622777,11.353492,1.723619,-3.900350,3.848662
0.200000,7.708263,3.066480,31.762446,10.698345,-3.275739,-24.996790,3.649286
0.200000,5.982573,2.239670,33.675982,9.567681,-5.653319,-11.887903,3.526130
0.200000,4.418906,1.705514,35.328367,8.261925,-6.528780,-4.377307,3.414985
0.200000,3.068136,1.394352,36.714513,6.930730,-6.655972,-0.635958,3.321143
0.200000,1.961645,1.235943,37.832286,5.588863,-6.709339,-0.266836,3.246735
0.200000,1.114824,1.170192,38.681657,4.246853,-6.710047,-0.003540,3.191687
0.200000,0.533224,1.151775,39.263547,2.909454,-6.686994,0.115265,3.154955
0.200000,0.217791,1.150647,39.578983,1.577177,-6.661384,0.128051,3.135424
0.200000,0.126571,1.151465,39.670207,0.456120,-5.605289,5.280473,3.129828
0.200000,0.126571,1.151465,39.670207,0.000000,-2.280598,16.623458,3.129828
