dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.325704,24.350029,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.646416,24.155725,0.500000,2.500000,6.250000,0.000000,5.720407
0.200000,23.161770,23.802440,1.125000,3.750000,6.250000,0.000000,5.637429
0.200000,23.802601,23.209636,2.000000,5.000000,6.250000,0.000000,5.398123
0.200000,24.089473,22.172094,3.125000,6.250000,6.250000,0.000000,4.411805
0.200000,23.192335,21.159909,4.500000,7.500000,6.250000,0.000000,3.766123
0.200000,21.830578,20.273592,6.125000,8.750000,6.250000,0.000000,3.730928
0.200000,20.218714,19.349730,8.000000,10.000000,6.250000,0.000000,3.463659
0.200000,18.259296,18.964832,10.000000,10.000000,0.000000,-31.250000,3.276099
0.200000,16.306458,18.552510,12.000000,10.000000,0.000000,0.000000,3.492372
0.200000,14.663646,17.470803,14.000000,10.000000,0.000000,0.000000,3.912273
0.200000,13.450064,15.889516,16.000000,10.000000,0.000000,0.000000,4.194062
0.200000,12.648467,14.060564,18.000000,10.000000,0.000000,0.000000,4.386193
0.200000,12.105264,12.136386,20.000000,10.000000,0.000000,0.000000,4.471581
0.200000,11.633699,10.192794,22.000000,10.000000,0.000000,0.000000,4.461694
0.200000,11.051357,8.280461,24.000000,10.000000,0.000000,0.000000,4.354608
0.200000,10.171682,6.488629,26.000000,10.000000,0.000000,0.000000,4.139612
0.200000,8.864269,4.984588,28.000000,10.000000,0.000000,0.000000,3.848662
0.200000,7.242356,3.903938,29.960861,9.608615,-1.956926,-9.784630,3.649286
0.200000,5.623072,3.128020,31.757584,8.358615,-6.250000,-21.465370,3.526130
0.200000,4.160156,2.628257,33.304307,7.108615,-6.250000,0.000000,3.414985
0.200000,2.896990,2.337281,34.601030,5.858615,-6.250000,0.000000,3.321143
0.200000,1.861069,2.188986,35.647753,4.608615,-6.250000,0.000000,3.246735
0.200000,1.066837,2.127324,36.444476,3.358615,-6.250000,0.000000,3.191687
0.200000,0.520419,2.110024,36.991199,2.108615,-6.250000,0.000000,3.154955
0.200000,0.223702,2.108964,37.287922,0.858615,-6.250000,0.000000,3.135424
0.200000,0.137844,2.109734,37.373784,0.000000,-4.293074,9.784630,3.129828
0.200000,0.137844,2.109734,37.373784,0.000000,0.000000,21.465370,3.129828
