dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.884857,23.594198,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.179570,23.415670,0.469569,1.722847,2.364237,-19.428817,5.720407
0.200000,22.635192,23.103626,1.021804,2.761174,5.191633,14.136980,5.637429
0.200000,23.125391,22.655550,1.685933,3.320644,2.797349,-11.971417,5.398123
0.200000,23.253705,22.431162,1.944417,1.292423,-10.141105,-64.692271,4.411805
0.200000,22.680708,21.869742,2.746613,4.010979,13.592783,118.669441,3.766123
0.200000,21.344245,21.000989,4.340622,7.970044,19.795325,31.012710,3.730928
0.200000,19.941753,20.179740,5.965871,8.126246,0.781009,-95.071580,3.463659
0.200000,18.141958,19.831928,7.798966,9.165472,5.196130,22.075606,3.276099
0.200000,16.005782,19.374227,9.983625,10.923297,8.789123,17.964964,3.492372
0.200000,14.054100,18.098560,12.315232,11.658032,3.673677,-25.577231,3.912273
0.200000,12.689996,16.323015,14.554280,11.195244,-2.313939,-29.938081,4.194062
0.200000,11.819608,14.340950,16.719034,10.823767,-1.857385,2.282772,4.386193
0.200000,11.255512,12.345062,18.793106,10.370358,-2.267046,-2.048307,4.471581
0.200000,10.786051,10.409862,20.784436,9.956650,-2.068538,0.992540,4.461694
0.200000,10.231766,8.586883,22.689819,9.526915,-2.148678,-0.400698,4.354608
0.200000,9.436333,6.962851,24.498185,9.041834,-2.425405,-1.383635,4.139612
0.200000,8.295861,5.649823,26.237358,8.695863,-1.729856,3.477745,3.848662
0.200000,6.816964,4.668573,28.012179,8.874104,0.891204,13.105300,3.649286
0.200000,5.294833,3.939121,29.700071,8.439463,-2.173202,-15.322029,3.526130
0.200000,3.923907,3.470760,31.148796,7.243622,-5.979208,-19.030034,3.414985
0.200000,2.740727,3.198214,32.362960,6.070824,-5.863988,0.576100,3.321143
0.200000,1.769239,3.059153,33.344350,4.906948,-5.819381,0.223038,3.246735
0.200000,1.023023,3.001227,34.092811,3.742305,-5.823214,-0.019167,3.191687
0.200000,0.508727,2.984946,34.607365,2.572771,-5.847670,-0.122282,3.154955
0.200000,0.229100,2.983947,34.886994,1.398144,-5.873137,-0.127331,3.135424
0.200000,0.148138,2.984673,34.967959,0.404826,-4.966586,4.532753,3.129828
0.200000,0.148138,2.984673,34.967959,0.000000,-2.024132,14.712272,3.129828
