dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.781109,25.096606,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,23.151228,24.856657,0.566094,2.205471,4.777353,-7.363237,5.668577
0.200000,23.757763,24.339567,1.363130,3.985177,8.898533,20.605903,5.470477
0.200000,24.400133,23.133631,2.729483,6.831769,14.232960,26.672134,4.886060
0.200000,23.948564,21.420413,4.501213,8.858650,10.134404,-20.492780,4.090471
0.200000,22.738978,20.273653,6.167994,8.333903,-2.623733,-63.790683,3.736776
0.200000,20.872858,19.562534,8.165016,9.985108,8.256022,54.398774,3.292202
0.200000,18.798138,19.544016,10.239819,10.374015,1.944535,-31.557435,3.058273
0.200000,16.868175,19.687506,12.175108,9.676449,-3.487829,-27.161820,3.131613
0.200000,15.282361,19.417767,13.783699,8.042952,-8.167487,-23.398289,3.564257
0.200000,14.150625,18.452395,15.271237,7.437693,-3.026293,25.705971,4.119955
0.200000,13.674764,16.968174,16.829877,7.793196,1.777514,24.019034,4.605992
0.200000,13.595364,15.023015,18.776655,9.733893,9.703484,39.629846,4.666257
0.200000,13.137241,12.757481,21.088045,11.556947,9.115273,-2.941052,4.294445
0.200000,11.705780,10.949229,23.394309,11.531322,-0.128126,-46.216994,3.852432
0.200000,10.014448,9.863733,25.404012,10.048512,-7.414050,-36.429621,3.572919
0.200000,8.405600,9.321931,27.101640,8.488142,-7.801849,-1.938993,3.368516
0.200000,7.046373,9.099112,28.479010,6.886849,-8.006466,-1.023089,3.246836
0.200000,5.970417,9.023164,29.557642,5.393163,-7.468431,2.690176,3.181611
0.200000,5.170919,9.004858,30.357350,3.998540,-6.973115,2.476579,3.149622
0.200000,4.637022,9.004541,30.891247,2.669485,-6.645274,1.639208,3.135738
0.200000,4.361020,9.006865,31.167258,1.380055,-6.447149,0.990624,3.130870
0.200000,4.286738,9.007701,31.241546,0.371438,-5.043085,7.020320,3.129828
0.200000,4.286738,9.007701,31.241546,0.000000,-1.857191,15.929470,3.129828
