dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.332027,24.345640,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.646670,24.141783,0.500000,2.500000,6.250000,0.000000,5.668577
0.200000,23.122380,23.737975,1.125000,3.750000,6.250000,0.000000,5.470477
0.200000,23.538295,22.982431,2.000000,5.000000,6.250000,0.000000,4.886060
0.200000,23.237397,21.930184,3.125000,6.250000,6.250000,0.000000,4.090471
0.200000,22.248400,20.998193,4.500000,7.500000,6.250000,0.000000,3.736776
0.200000,20.741572,20.427628,6.125000,8.750000,6.250000,0.000000,3.292202
0.200000,18.870958,20.415981,8.000000,10.000000,6.250000,0.000000,3.058273
0.200000,16.876907,20.562462,10.000000,10.000000,0.000000,-31.250000,3.131613
0.200000,14.923444,20.215767,12.000000,10.000000,0.000000,0.000000,3.564257
0.200000,13.424739,18.940979,14.000000,10.000000,0.000000,0.000000,4.119955
0.200000,12.804712,17.061096,16.000000,10.000000,0.000000,0.000000,4.605992
0.200000,12.721295,15.063366,18.000000,10.000000,0.000000,0.000000,4.666257
0.200000,12.337557,13.112628,20.000000,10.000000,0.000000,0.000000,4.294445
0.200000,11.134868,11.612317,21.948376,9.483761,-2.581195,-12.905975,3.852432
0.200000,9.648631,10.658594,23.720128,8.233761,-6.250000,-18.344025,3.572919
0.200000,8.208742,10.174499,25.241880,6.983761,-6.250000,-0.000000,3.368516
0.200000,6.954454,9.969271,26.513633,5.733761,-6.250000,0.000000,3.246836
0.200000,5.935410,9.897463,27.535385,4.483761,-6.250000,0.000000,3.181611
0.200000,5.163893,9.879830,28.307137,3.233761,-6.250000,0.000000,3.149622
0.200000,4.642145,9.879526,28.828889,1.983761,-6.250000,0.000000,3.135738
0.200000,4.370402,9.881814,29.100641,0.733761,-6.250000,0.000000,3.130870
0.200000,4.297031,9.882640,29.174018,0.000000,-3.668805,12.905975,3.129828
0.200000,4.297031,9.882640,29.174018,0.000000,0.000000,18.344025,3.129828
