dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.840174,23.523152,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.094057,23.358824,0.427424,1.512121,1.310606,-24.696969,5.668577
0.200000,22.426483,23.079086,0.861890,2.172330,3.301045,9.952196,5.470477
0.200000,22.594377,22.816831,1.173283,1.556965,-3.076826,-31.889357,4.886060
0.200000,22.458498,22.488505,1.528615,1.776660,1.098475,20.876507,4.090471
0.200000,21.711099,21.791738,2.550422,5.109035,16.661875,77.816999,3.736776
0.200000,20.597783,21.375115,3.739139,5.943585,4.172751,-62.445620,3.292202
0.200000,18.950714,21.370991,5.386213,8.235369,11.458917,36.430828,3.058273
0.200000,16.886470,21.520749,7.455883,10.348347,10.564890,-4.470135,3.131613
0.200000,14.530343,21.089768,9.851103,11.976104,8.138788,-12.130507,3.564257
0.200000,12.629720,19.476096,12.344355,12.466259,2.450775,-28.440065,4.119955
0.200000,11.851797,17.162868,14.784886,12.202652,-1.318039,-18.844071,4.605992
0.200000,11.763980,15.107561,16.842068,10.285910,-9.583706,-41.328336,4.666257
0.200000,11.461710,13.501599,18.476228,8.170804,-10.575534,-4.959138,4.294445
0.200000,10.509583,12.338557,19.979296,7.515339,-3.277321,36.491062,3.852432
0.200000,9.247974,11.529157,21.478224,7.494640,-0.103497,15.869119,3.572919
0.200000,7.993135,11.108266,22.801769,6.617725,-4.384574,-21.405386,3.368516
0.200000,6.853782,10.922303,23.956198,5.772145,-4.227900,0.783373,3.246836
0.200000,5.897070,10.855031,24.915273,4.795373,-4.883860,-3.279803,3.181611
0.200000,5.156198,10.838134,25.656338,3.705324,-5.450244,-2.831920,3.149622
0.200000,4.647756,10.837844,26.164780,2.542210,-5.815573,-1.826644,3.135738
0.200000,4.380678,10.840094,26.431867,1.335436,-6.033867,-1.091469,3.130870
0.200000,4.308305,10.840909,26.504245,0.361889,-4.867737,5.830651,3.129828
0.200000,4.308305,10.840909,26.504245,0.000000,-1.809444,15.291462,3.129828
